stage,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1.25,0,1.23,0,0,0,0,0,0,0,1.01,1.94,0,0,0,4.88,0,0,0
 24-34,0,1.72,0,0,0,0,0,0,0,2.06,0,9.18,0.61,1.41,0,0.95,0,0,0
 36-46,0,1.17,0,0.56,0,0,0,0,0,0.83,0,4.99,0,0,0,2.19,0,0,0
 48-58,0,0,0,2.96,3.52,1.02,0,0,0.5,1.45,0,14.08,0,0,0.4,2.01,0,0.42,6.2
 60-70,0,0,0,9.18,0.94,0.69,0,0,0,1.67,0,52.26,0,0,0,6.84,0,0,0
 72-82,0,2.5,0,6.5,2.08,0.54,0,0,0,1.76,0,13.6,0,0,0,5.07,0.49,0,0
 84-94,0,0,0,3.68,0.84,5.7,0,0,0,5.6,0,3.85,0,0,0,0,0,0.82,0
 96-106,0,0,0,15.5,1.9,3.02,0,3.99,0,1.48,0,49.28,0,2.84,0,2.23,0,0,0
108-118,0,0,0,7.32,0,5.46,1.59,0,0,4.8,0,23.76,0,2.17,0,0,0,1.73,0
120,0,4.29,0,0,17.87,5.91,0,0,0,0,0,13.48,0,0,0,0,0,0,0
