stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,32.6,0,0,0,0,0,0,0
 10-12,28.55,0,11.86,0,3.46,0,0,0,0,0,0,0,0,52.98,17.65,0,0,45.93,5.16,4.78,0,0,0,0,0
 14-21,0,0,3.86,7.47,0,0,2.88,0,1.58,0,1.17,0,0,0,0,0,14.37,0,0,0.84,0,0.88,0,0.85,0
 24-34,0,0,0,1.69,0.67,0,0,0,1.66,10.3,1.19,0,0.6,19.01,0,2.71,36.38,0,1.62,3.26,0.6,0.65,0,0,0
 36-46,0,0,0,0.62,0.74,0.79,0,0,0,1.96,0,0,0.55,0.61,0,0,17.08,0,0.69,1.97,0,0,0,0,1.19
 48-58,0,0,0,0.53,4.99,0,0,0,0,1.45,1.57,0.76,0,2.34,0,0,38.21,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.63,0,0,7.44,0.62,0,0,4.88,0,0,9.13,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.74,0.82,0,0.63,4.09,0,0,0,9.21,0,0,10.7,0,0,1.44,0,0,0,0,0.55
 84-94,0,1.14,0,0,0,0,1.39,0,0.75,6.09,0.62,0,0,0,0,0,12.14,0,0,1.34,0,0,0,0,0
 96-106,0,0,0,0,2.02,0,0,0,0,6.43,1.4,0,0,0,0,0,3.85,0,0,0.6,0,2.14,0.61,0,0
108-118,0,0,0,1.18,1.4,0,0.47,4.07,0,5.51,0,0,0,0.58,0,0,12.35,0,0,0.76,0,0,0,0,0.51
120,0,0,0,0,0,0,3.97,0,0,13.35,0,0,0,0,0,0,1.12,0,0,4.22,0,0,0,0,0
