stage,blastomeres,endoderm,eye,neural,paraxial.mesoderm
  3-4,16.78,0,0,0,0
  5-6,38.16,0,0,0,0
  7-9,0,3.38,5.42,13.24,0
 10-12,0,0,0,20.35,6.45
