stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.84,939.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,6.55,786.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.49,0,0,0,11.93,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,116.7,0,0,0,57.67,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,6.13,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.51,0,0,0,11.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.9,1.12,0,3.68,0,0,0,0,0,0,1.92,0,2.8,0.87,0,1.36,0,2.51,0,0,1.96,11.91,1.33,0.92,4.45,0,0,41.18,2.22,0,0,14.99,0,0,1.62,0,0
 24-34,0,0,0,2.31,22.12,0,0,11.33,0,2.76,0.62,0.69,0.66,0,1.02,1.54,6.92,0,1.46,1.22,6.38,13.79,3.46,0,9.17,153.97,0.61,15.5,4.79,0,0,103.37,0,3.37,2.21,35.48,0,0,51.9,0,0.72
 36-46,0,0,0,0,20.77,0,0,17.03,0,0.84,1.1,0.89,0.72,1.78,4.44,3.16,3.76,17.25,1.76,0,17.59,29.19,8.18,0,1.77,315.08,5.65,10.44,1.26,0,0,171.01,0,13,0,52.77,0,0,32.43,0,7.68
 48-58,0,0,0,0,19.61,1.05,0,55.76,0,1.19,11.3,10.45,1.9,25.09,7.17,14.27,19.34,26.97,3.96,0,18.31,33.39,6.45,0,3.52,447.48,0.51,7.5,0,0,0,100.15,0,3.76,0,97.31,0,0,14.29,0,10.57
 60-70,0,0,0,0,28.04,0.59,0,133.45,0,21.03,5.87,16.37,7.25,11.99,0,10.63,18.8,83.89,0.59,0,14.55,106.73,3.53,0,4.26,656.29,2.67,6.52,6.03,0,0,102.07,0,0.58,0,112.46,0,1.97,19.28,0,35.6
 72-82,0,0,3.75,0.56,26.48,6.08,0,223.22,2.45,5.32,13.35,31.21,8.7,5.89,3.72,17.63,7.54,65.4,5.64,1.71,12.37,141.56,11.4,2.03,18.56,685.97,0,15.85,5.09,0,2.17,109.14,0,6.31,0,112.75,2.27,0,36.85,0.93,30.76
 84-94,0,0,5.42,0,55.25,1.76,0,214.05,0.79,10.45,14.45,51.4,40.01,13.16,4.29,24.2,15.78,92.62,6.42,0.6,11.99,139.32,23.4,6.62,0.71,510.8,0.65,20.5,11.32,0,0,278.26,0,2.98,0,96.23,4.33,2.82,33.47,0,13.02
 96-106,0,0,2.87,0,52.78,19.83,0.6,231.67,1.75,12.32,4.81,55.39,42.71,3.18,0.79,19.38,20.98,66.47,7.57,0,11.28,130.44,21.91,10.97,10.75,572.86,0.7,23.45,13.73,0,8.73,329.92,3.39,4.8,0,38.35,6.03,2.24,41.87,8.43,18.06
108-118,0,0,5.71,0,94.98,2.37,8.6,218.22,0,27.14,5.68,67.27,54.11,0,1.2,29.4,27.87,125.24,17.16,2.46,13.03,158.45,38.83,1.48,8.42,711.58,2.36,10.54,12.27,0,9.97,301.4,0,4.83,0,35.89,12.18,2.07,44.61,2.68,33.71
120,0,0,2.52,0,138.09,0,0,283.32,1.18,22.17,13.57,91.11,37.31,0,1.61,52.28,26.58,84.12,8.05,1.05,23.76,173.52,30.6,2.08,5.89,859.44,0,17.08,18.79,0,0,196.07,0,4.2,0,41.91,1.37,0,55.53,19.53,18.8
