stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,3.87,0.84,0,0
 24-34,0,0.86,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0.79,0,2.81,0
 36-46,0,0,0,0,0,1.07,0,0,0,0,0,4.28,0,0,0,3.25,0,3.98,0
 48-58,0,0,0.95,2.21,0,1.22,0,0,0,0,0,12.86,0,0,0.62,1.72,0,1.34,0.39
 60-70,0,0,0,0.79,0,0,0,0,0,0,0,7.98,0,0,0,1.81,0,0,1.15
 72-82,0,0,2.13,9.72,0,0.93,0,0,2.5,1.8,0,12.83,0,0,4.4,2.18,0,0,2.61
 84-94,0.66,0,1.78,0,0,0,5.69,0.76,0,0,0,3.06,0,0,0,2.22,0,1.86,0
 96-106,0,0,0,2.13,0,1.3,0,0,0.89,0,0.73,7.3,0,0,0,12.24,0,0,0
108-118,0,0,0.56,1.55,0,0,0,0.48,0.49,7.3,0,17.17,0,0,0.53,5.75,0,0,0
120,0,0,0,22.91,1.05,0,0,0,0,0,0,31.53,1.18,14.66,0,1.13,0,0,0
