stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.32,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.04,0,0,5.99,0,3.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27,0,0,17.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,5.15,1.75,0.9,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,1.28,7.32,0,0,0,0,3.07,2.98,1.44,0,2.33,4.31,0,2.06,0
 24-34,0,0,1.43,0,0,0.59,0,1.86,0,0,0,0,0,3.63,0,0,0,0,3.66,0,1,37.07,0,2.3,0,1.61,6.75,0,0,0,0,8.39,0,0,0
 36-46,0,0,0,1.75,0,6.42,3.87,0,1.16,6.01,0,0,0,5.12,0,0,0,0,3.27,0.8,1.23,76.95,0.66,0,0,0,5.12,0,2.02,1.14,0,20.5,0,0,10
 48-58,0,0,0,0.6,0,21.44,0.95,0,0,5.31,0,0.77,0,0.66,0,0,1.48,0.54,3.49,0,0.44,67.89,0,0,0,0,2.42,0,0,0,0,7.59,0,7.16,0
 60-70,0,0,0,0,0,23.86,0,0,0,10.75,0,0,0,0,0,0,0,0.59,13.79,0,0,57.77,0,9.91,0,0,7.26,0,0,0,0,9.55,0.77,0,0
 72-82,0,0,0,0.51,4.33,10.87,0,0,1.16,3.79,0,0,0,1.67,0,0,0,0,7.57,0,1.29,33.09,2.93,0,0,0,0,0,0,0,0,2.71,1.69,0,0
 84-94,0,0,0,1.49,0,11.08,0,0,0,3.7,0.62,0,0,5.64,0,0,0,0,5.56,0,0.56,12.84,0,0.76,0,0,11.1,0,0,0.66,0,0,0.57,0,0
 96-106,0,0,0,1.03,0,7.93,0,0,1.01,6.33,0,0,3.04,6.81,0,0,0,0.67,12.48,0,0,16.98,0,0,0,0,11.14,0,0,0,0,0,5.68,2.17,0
108-118,0,0,0,2.5,6.34,3.04,0,0,0,1.22,0,0,0,7.95,0.56,1.38,0,0,2.6,0,1.88,13.9,0,0,0,0,2.45,0,1.76,0,0,0,3.19,2.55,0
120,0,0,0,6.72,0,13.89,0,0,0,2.7,0,0,0,16.16,0,0,0,0,18.84,0,0,50.6,0,0,0,0,2.26,0,0,0,0,0,0,1.36,0
