stage,eye,gut,immune,iridophores,mucous,neural,spinal_cord,vasculature
 48-58,0,0,0,0,2.73,0.47,0.99,0
 60-70,0,0,0,0.93,0,0,0,0
 84-94,0.62,0,0,0,0,0,0,0
108-118,0,0.43,0.85,0,0,0.82,0,0.65
120,0,0,0,0,0,14.17,0,0
