stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.05,557.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,131.26,2341.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,13.98,0,0,0,0,27.74,0,0,0,0,0,0,0,0,0,0
  7-9,41.78,134.7,122.34,0,0,236.67,0,0,0,0,0,70.51,0,0,0,0,0,0,0,0,0,0,0,2452.15,142.57,0,0,1056.04,0,12.39,32.09,0,12.83,0,0,0,0,0,0,0
 10-12,0,30.91,49.88,0,22.84,259.86,0,0,0,0,0,27.81,0,0,0,0,0,0,0,0,0,0,0,1165.32,45.31,0,0,576.78,0,0,19.89,0,25.43,0,0,0,0,0,0,0
 14-21,0,0,3.84,34.56,4.54,4.36,0,0,0,2.18,1.28,0,0,0,0.9,0,0,0,0,13.78,0,0,1.98,76.36,8.78,0,6.07,1.16,0,3.31,0,26.35,1.46,35.13,46.73,12.3,0,4.37,0,0
 24-34,0,0,0,32.21,0.78,23.74,2.9,11.68,0.69,5.31,0,2.59,2.35,1.69,2.77,0,0,2.39,0,19.27,2.96,0,19.43,175.11,4.44,4.11,0.74,0,0,236.78,0,0,2.91,2.88,16.49,30.86,0,16.83,0,1.72
 36-46,0,0,0,56.74,0,23.68,17.62,3.58,1.26,11.12,0,0,4.63,2.14,14.55,0,0,0,0,25.28,7.47,4.38,10.02,129.27,9.51,1.55,0.8,0,0,366.52,0,0,3.52,8.94,0.69,13.57,0,11.33,0,8.51
 48-58,0,0,0,41.84,0,37.48,7.59,6.59,1.97,20.26,0,8.74,2.86,0.85,3.51,0.91,1.3,0,0.74,34.03,1.25,0,16.01,138.34,8.07,1.68,0,0,0,194.47,1.96,0,1.44,3.22,0,37.88,0,7.04,0,2.98
 60-70,0,0,0,6.04,0.56,23.49,2.3,10.64,8.55,16.94,0,0,10.48,0.6,2.01,3.81,0,0,1.71,47.27,2.08,0,4.66,48.19,0.75,0,0,0,0,78.72,0,0,0,1.27,0,6.7,2.56,19.16,0,5.02
 72-82,0,0,0,2.56,0,28.87,0.83,0,6.15,45.73,0,1.1,1.04,2.05,0.55,0.82,2.18,0,0,97.54,0,0,14.28,42.53,0,0,3.49,0,0.87,22.85,0,0,0,1.5,0,5.57,0.81,21.49,1.49,26.56
 84-94,0,0,0,13.39,0.71,42.43,0.66,4.43,10.65,12.24,0.62,0.91,0,3.02,1.08,5.05,0.81,3.56,0.68,70.44,1.54,0,7.83,48.01,1.52,0,1.89,0,0,116.13,0,0,0,0.59,0,2.82,0,58.83,0,16.45
 96-106,0,0,0,5.78,2.34,24.03,0,1.34,2.29,26.89,0,0,0.96,3.71,0.86,12.23,0.63,0,0,99.56,1.34,0,15.42,37.66,5.67,0,5.01,0,1.77,29.43,0,0,0.73,0.64,0,4.87,0,58.33,0,11.01
108-118,0,0,0,7.57,1.55,43.16,0,5.32,3.64,20.66,0,0,1.03,3.13,1.52,18.45,4.04,2.34,0,103.18,5.58,1.85,11.44,37.83,0.42,0,3.21,0,2.98,41.64,0,0,0,2.83,0,4.39,0,63.16,0,26.32
120,0,0,0,49.43,0,55.34,11.36,8.78,1.44,73.85,7.15,0,0,1.25,2.42,11.05,0,11.33,0,176.66,0,0,9.95,39.62,0,0,4.74,0,9.96,98.82,0,0,1.02,0,0,0,2.24,100.4,0,17.69
