stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,15.83,0,0,0,6.6,0,0,7.7,0,0,0,0,0,0,0,0
 14-21,0,0,3.52,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,524.77,0,0,0,0,1.21,1.49,0,0,0,0,0,0,0,0,1.26,4,0,0,0,0,0
 24-34,0,0,9.73,0.66,0,0,0.65,0,0,0,0.69,3.34,0,0,0,0,0,1196.33,0,2.76,0.68,0,0.77,44.82,0,1.99,0,0,0,0,0.63,1.16,0,1.94,0,0,0.68,0,0
 36-46,0,0,0,0,0,0,5.2,0,0,0,1.76,5.99,0,0,1.77,0,0,667.89,0,0,0,0,0.62,34.92,0,0,0,0,0,3.06,0,0,0,1.97,0,0,0,0,0
 48-58,0,0,0,0,0.55,0,5.22,0,0,0,2.31,2.33,0,0,0,0,0,460.3,0.88,3.64,0,0,0.4,22.83,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,3.5
 60-70,0,0,0,0,0.59,8.61,13.29,0,0,0,0,0,0,0,0,0,0,649.69,0,10.69,0,1.12,1.26,41.9,0,3.95,0,0,0,2.55,0.85,0,0,12.95,0,0,0,0,0
 72-82,0,1.32,0,17.11,28.86,1.04,51.19,1.01,3.84,3.6,16.8,0.63,1.04,0.68,0,0,1.05,3284.01,0,25.73,0,0.92,1.17,314.17,0,0,1.19,0,0,15.85,0.85,0,0,11.81,7.06,0,11.04,0,7.84
 84-94,0,2.22,0,8.39,39.73,0,140.91,0,0,11.81,23.2,12.61,1.52,6.29,2.84,0.87,1.33,10108,4.96,17.83,0,3.16,5.49,337.38,0,0,1.74,0,0,19.95,2.32,0,0,4.41,7.08,4.95,1.95,0,2.72
 96-106,0,0.87,0,68.27,133.94,11.72,403.46,5.94,12.76,18.32,115.48,41.41,5.09,24.12,5.91,4.36,8.63,18466.1,0,188.35,4.61,1.24,31.43,2179.09,8.07,8.12,8.34,0,8.36,96.25,4.04,9.09,0,22.62,11.34,1.16,55.08,8.02,11.69
108-118,0,0,0,41.23,47.87,19.66,393.21,1.2,7.08,17.85,82.78,35.3,0.56,12.66,10.53,15.46,3.68,39603.65,13.09,197.95,5.45,6.63,22.63,1910.46,8.54,5.4,6.01,0,10.49,103.18,7.24,1.62,0,19.54,17.16,4.87,14.12,8.31,17.34
120,0,0,0,44.34,36.58,12.78,275.47,1.49,8.44,0,115.74,23.38,6.79,33.86,0,10.35,0,21851.33,0,266.26,1.05,13.7,38.15,1606.71,9.83,2.28,7.91,0,13.39,50.64,1.58,0,0,16.27,0,0,8.46,0,6.96
