stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.65,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.62,0,0,0,0,0,0,1.01,0.92,0,0,0.84,0,0,3.69,0,3.98,19.12,0.92,0,0,1.91,0,4.05,0,26.32,4.46,2.03,0,1.35,0,0
 24-34,0,0.6,0.69,0,1.61,0,0,0,4.69,0,0,0,0,0,0,6.54,0,3.03,233.33,1.8,0,0.76,0,8.64,0,0,1.54,0,12.29,0,1.95,0,0
 36-46,0,1.8,0,0,2.82,0,9.33,0,6.05,0.72,0,0,0,0,0,2.61,0,0.62,447.44,0,0,0.85,0,2.4,0,10.57,0,0,8.13,0,0,0,2.58
 48-58,0,4.44,0,0,23.17,0.58,0,0,2.83,0,0,0,0,0,5.37,20.14,0,0,574.88,0.5,0,0,0,0,0,0,0,0,19.13,0,8.18,0,0
 60-70,0,0,0,0,68.28,0,0,0,13.02,0.64,0,0,0.71,0,0,9.05,1.09,0,614.35,0,0,0,0,0,0,0,0,0,16.55,1.06,0,0,12.43
 72-82,0,1.37,2.07,0,51.25,0,0.58,0,14.64,0,0,0.53,0,0,0,13.17,5.52,1.95,765.17,0,2.17,0.53,0,0,0,0,0.53,0,18.97,0,7.34,1.28,0
 84-94,0,3.62,1.4,0,22.24,2.05,0,0,16.13,0,0,0.69,0,0.66,0,14.55,0,5.36,694.54,0,0,0,0,1.68,0,0,0,0,3.36,0,9.6,0,7.05
 96-106,0,0.57,0,0,39.96,0.58,0,1.52,5.2,1.56,0,0,0,0,0,11.91,0,0,513.22,0,0,0,0,6.15,0,0,0,0,13.15,0,1.41,0,3.17
108-118,0,7.84,0,1.31,61.75,0,0.42,0,24.02,1.54,1.02,0,1.7,1.96,0,3.4,0,0.44,668.74,0.78,0,0,0,3.11,0,0,0,0,2.96,0,0.71,3.09,0
120,0,2.71,0,0,47.93,0,0,0,9.54,2.8,0,7.07,0,0,0,5.99,0,1.03,1190.24,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0
