stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.51,0,0,0,1.78,0,2.06,88.73,0,0,0,0,0
 24-34,0,2.27,0.76,0,2.09,0,0.73,0,0,0,0,0,0,0,11.35,0,16.93,0,0.65,428.24,0,26.84,0,0,0,0,401.9,0,0,9.63,0,0
 36-46,0,0,2.48,0,13.96,0,0,0,3.94,0,0,0,0,0,0,0,13.38,0,0.55,741.88,0,69.87,0,0,0,0,853.82,0,0,0,0,0
 48-58,0,0,0,0,93.4,1.1,2.79,1.09,10.01,0,0,0,0,0,0,0,18.48,0,1.55,867.95,0.55,32.88,0,0,0.4,0,721.61,0,0,0,0,16.03
 60-70,0,0,1.89,0,182.77,0,0,3.57,11.71,0,0,0,0,0,0,0,5.93,0,0.56,1132.09,0,40.44,0.64,0,0.87,0,885.42,0.81,1,0,0,0
 72-82,0,0.61,4.41,3.53,232.93,0,0,1.07,22.88,1.92,0,0,0,2.11,0,3.31,14,1.17,2.03,1083.55,0,41.13,0,0,0.86,0,597.37,3.99,0,0,0.67,0
 84-94,0,0,6.61,0,219.49,0,0.68,0,37.91,0.6,0,0,0,0,0,0,9.94,1.44,0,914.11,0,26.84,2.03,0,9.78,0,380.33,6.86,1.27,2.37,0.63,0
 96-106,0,0.61,3.33,0,191.98,0,0,0,33.96,0,0,0.71,0,0,0,0,1.62,0,1.12,720.81,0,72.43,2.54,0,0,0,183.94,21.22,4.09,0,0,0
108-118,0,1.39,10.62,0,154.28,0,0,0,24.88,0,0,3.08,0,0,1.31,0,3.79,0,0,849.76,0,31.71,1.97,0,5.35,0,186.27,18.51,0,0.65,0,0
120,0,0,3.48,0,154.35,0,0,12.74,113.52,0,2.77,0,6.33,4.83,0,0,47.41,0,0,1136.92,0,30.64,1.11,0,0,0,287.68,11.82,0,5.91,4.47,8.94
