stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,31.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.35,23.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,4.41,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0,4.61,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,4.55,0,0,2.69,2,0
 24-34,0,0,0,0,0,0,0,3.03,0,0.67,0,0,23.52,0,0,0,1.3,0
 36-46,0,0,1.82,0.57,5.17,0,0,3.15,0,0,0,0,30.37,0,0,0,2.14,0
 48-58,0,0,0.37,0,8.33,0,0,0,0,0,2.74,0.54,32.09,0,0,0,9.41,0
 60-70,0,0,0,0,2.78,0,0,0.76,5.52,0,0,0,57.43,1.26,0,0,1.24,2.98
 72-82,0,0,0,0,3.02,0,0,3.42,0,0,0.68,0,48.88,0,0,0,0,0
 84-94,0,0,0.87,0,9.4,0,0,2.26,5.09,0,4.42,0.95,41.16,0,0,0,0,1.16
 96-106,0,0,3.65,0,0,1.5,0,6.69,2.66,0,1.73,0,22.2,0.98,0,0,0,0
108-118,0,0,4.92,0,0.53,1.45,1.61,4.77,9.59,0,0,1.6,48.53,0,0,0,0,0
120,0,0,0,10.42,1.26,6.9,0,12.64,1.91,0,0,0,54.28,0,0,0,0,0
