stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,14.29,217.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0
  5-6,0,188.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,56.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,5.9,0,0,0,0,0
 14-21,0,0,0.95,2.3,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.67,0,1.05,0,0
 24-34,0,0,0,0,1.81,1.59,2.2,0,0,0,0,0,0,0,1.33,0,11.14,0,0,3.05,0,0,2.22,0
 36-46,0,0,0,7.18,0.89,2.4,3.66,1.02,0,0,0,0,0,0,0,0.85,0.8,0.68,0,0,0.81,0,0,0
 48-58,0,0,0,3.37,7.23,0,1.85,1.09,0,0,0,0,0,1.39,0,0.81,15.48,0,0,0,0.56,0,1.87,0
 60-70,0,0,0,0,3.27,8.99,6.15,1.02,0,0,0.82,0,0,1.91,0,0,11.49,0,0,0,0,0,5.99,0
 72-82,0,0,0,0,6.13,1.37,7.27,0,0,0,1.14,0,0,1.46,0,0,9.28,0,0,0,0,0,0,3.19
 84-94,0,0,0,0,1.06,0,9.83,0,0,0,1.37,0,0,4.12,0,0,5.38,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,2.31,0,3.18,0,0,0,8.24,1.5,0,1.18,0,0,6.63,0,0,0,1.57,0,0,5.99
108-118,0,0,2.21,0,1.71,0,0.56,1.65,0,0.78,3.08,0.62,0.6,5.51,0,0,10.53,0,0,0,3.48,0,0,5.49
120,0,0,0,0,10.81,0,0,0,0,0,0,0,0,2.38,0,0,13.75,0,0,0,1.53,0,0,0
