stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.38,0,0,3.75,0,0,0,0,6.86,0,0,0,0,0,81.66,0,0,0,15.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.8,0,0,26.73,0,0,0,0,0,0,0,0,0,0,115.86,0,0,0,15.11,0,0,0,7.73,0,3.28,0,0,0
 14-21,0,0,1.96,13.79,0,0,0,0,33.96,0.87,0,0,0,0,2.27,1.82,88.31,1.69,2.71,2.62,0,0,0,2.42,7.17,0,113.53,0,0,0
 24-34,0,1.4,0,6.82,0,4.9,0,0,32.13,0,0,0,0,2.1,1.76,5.12,305.39,0,32.13,3.46,0,0,0,0,5.59,2.1,127.33,0,0,0
 36-46,0,0,0,3.39,0,0.88,0.69,0,41.47,0,0,0.93,0,0,0,0,432.95,0,50.1,2.89,0,0,0,0,2.46,0,149.08,0,0,0
 48-58,0,0,0,0.39,2.59,12.91,1.45,0,46.84,0,0,0.44,6.16,0,0.59,0,430.51,0,17.11,0,0,0,0.81,0,0.4,0,102.73,0,0,0
 60-70,0,0,0,0.68,0,9.28,4.33,0,66.92,0,0,0,6.52,0.82,1.57,0,860.45,0,36.72,0.62,0,0,0,0,13.61,0,141.22,0,0,0.81
 72-82,0,0,0,7.11,0,19.35,0,0,75.42,0,0,0,0,1.56,3.98,0,915.37,0,28.58,6.47,0,0,0,0,3.01,0,105.8,0,0.56,0
 84-94,0,1.16,0,5.32,0,25.73,0,1.36,45.25,0,0,0,0,0,3.29,0,653.62,0,40.96,0,0,0,0.59,0,3.72,0,95.66,0,0,0
 96-106,0,0,0,7.31,0,17.5,0,0,67.41,0,0,0,0,0,4.43,0,651.12,0.79,53.43,0,0,0,0.83,0,0.7,0,89.62,0,1.21,0
108-118,0,0,0,11.53,0,29.29,0,0,77.02,0.52,0,0,0,0,0,0,615.2,0,14.75,3.38,0,0.91,0,0,0.42,0,57,0,0,0
120,0,0,0,9.29,0,30.2,0,0,107.82,0,0,0,0,0,0,0,897.59,0,21.88,0,0,0,0,0,0,0,22.99,1.37,0,0
