stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0
  5-6,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43,0,0,8.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.63,0,0,3.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.57,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.89,17.12,0,0,0,0,0,1.72,2.47,5.05,0,0,0
 24-34,0,0.84,0.6,0,0,0,2.99,0,0,1,0,0,0,0,0.89,0,0,0,6.1,5.37,35.97,1.48,1.43,0,0,0,0,1.27,12.33,0,0.79,0
 36-46,0,0,0,5.47,0,0,6.93,1.24,0,1.54,0,0,0,0,0,0,0,0,10.16,1.49,43.35,0,0,0,0,0,0,0,5.65,0,1.76,0
 48-58,0,0,0,0,0,0,16.29,0,0.94,5.22,0,0,0,0,0.38,0,0,0.56,8.5,0.88,59.49,0,0,0,0,2.51,0,0,16.56,0,1.75,0
 60-70,0,0,0,0.65,0,0,38.94,2.17,1.28,5.44,0,4.94,0,0,0,0,0,0,6.68,3.02,47.8,4.45,0,0,0,1.32,0,0,2.29,0.9,1.45,0
 72-82,0,0,0.56,0,8.93,0,25.42,0,1.07,4.98,0,0,0,0,0.64,0,0,0,19.41,0,38.03,2.33,0,0,1.31,0,0,0,15.34,0,0,0
 84-94,0,0,0,1.99,0,0.6,17.92,0.56,0,8.87,0,0,0,0.65,0,0,0,0,17.74,4.01,45.99,0,0.82,0,0,0,0,0,1.18,0,0.81,2.81
 96-106,0,0,0,0.83,0,0,11.24,0,0,4.63,2.42,0,1.64,0,1.78,1.2,0,0,9.05,0,29.63,0,0,0,0,1.82,0,0,0,0,5.55,0
108-118,0,0,0,0.48,0,4.79,25.99,0.41,1.52,15.93,0,0,0,0.58,0.52,1.4,1.77,0,27.55,2.42,27.26,1.06,0,0,0,0,0,0,1.14,0,10.29,4.7
120,0,0,0,1.81,1.3,0,4.94,0,0,6.06,0,0,0,5.02,0,0,0,0,8.05,3.19,33.52,0,0,0,13.5,2.08,0,0,0,0,0,0
