stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,612.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.57,0,0,0,0,0,0,0
  5-6,118.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,42.54,0,0,7.27,0,0,0,0,0
 14-21,0,0,1.72,0,0,0,0,2.42,0,0,0,0,0,0,0,0.85,0.88,3.25,4.01,2.75,15.46,0,5.18,10.1,0,0,0
 24-34,0,0.71,0,1.64,0,0,1.72,1.27,0,0,0,0,0,0.85,0,1.89,1.15,0,0,14.13,0,4.13,6.49,12.65,0,1.32,0
 36-46,0,0,0,0,3.38,1.85,0.79,4.56,0,0,0,0.61,0,3.13,0,0.79,4.32,0,0,28.35,0,0,0,14.54,0,0,0.64
 48-58,0,3.57,0,1.71,0,0,0,3.28,0,0,0,0,0,2.16,0,0.74,0,0,0,11.97,0,0,0,17.63,0,0,0
 60-70,0,7.7,0,0,0,1.62,0,6.88,0,0,0,0,0,0.88,0,0.99,2.9,0,0,2.12,0,0,0,16.98,0,0,0
 72-82,0,2.71,0,0,0,0,0,6.29,0,0,0,0,0,1.79,3.53,0,1.83,0,0,1.46,0,0,0,11.3,0,0,0
 84-94,0,8.06,0,0,0,0,1.21,4.57,0,0.81,1.49,0,0,4.32,0,1.19,0,0,0,9.92,0,0,0,9.59,0,0,0
 96-106,0,10.03,0,0,0,0,1.52,4.46,0,0,0,0,0,0,0,2.2,13.51,0,0,19.11,0,0,0,3.4,2.54,0.61,0
108-118,0,3.88,0,0,0,1.7,0.83,0,1.63,0.42,0.67,0,0.47,0.91,0,0,1.06,0,0,17.39,0,0,0,6.71,0,0,0
120,0,10.18,0,0,0,0,0,0,1.19,0,1.25,0,0,0,0,0,0,0,0,25.72,0,0,0,1.34,0,0,0
