stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.83,1570.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.13,0,0,0,0,0,0,0,0,0,0
  5-6,164.96,2988.7,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,47.61,0,0,0,70.51,0,26.5,0,0,0,0,0,0,0,0,0,0
  7-9,36.29,115.49,0,73.07,0,0,179.91,0,0,0,0,0,49.32,0,0,0,0,0,0,0,0,0,0,0,1826.52,56.63,0,0,546.84,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,11.54,0,92.81,0,17.04,139.75,0,0,0,0,0,26.69,0,0,0,0,0,0,0,0,0,0,0,1083.68,58.36,0,0,311.32,0,0,11.03,0,59.17,0,0,0,0,0,0,0
 14-21,0,0,0,6.32,46.13,14.69,16.25,0,1.16,0,10.65,3.9,0,0.92,0,1.7,0,0,11.93,0,45.87,0,0,28.05,362.38,14.87,0,2.59,15.1,0,3.39,0.9,48.12,3.19,4.96,74.87,133.5,0,1.07,0,0
 24-34,0,0,0.66,2.24,19.45,0,45.81,0,0.8,3.14,42.79,0.67,0,2.42,0,0.7,3.22,0,0.77,0,55.73,0,0,23.66,524.15,0,3.29,1.27,0,1.14,6.48,0,0,0,0,9.9,132.8,0,6.67,0,0.78
 36-46,0,0,0,0,4.72,0,88.31,0,0,1.35,43.08,0,4.78,0.72,0,0,0.56,0.72,0,1.8,46.04,1.07,1.72,5.55,505.43,0,0,4.06,0,1.69,2.34,0,0,0,3.54,0,121.17,0,6.57,0,0.57
 48-58,0,0,0.44,0,7.28,0,147.06,0,2.06,0.76,57.21,0,0,0.69,0,0,0,2.63,0,0.39,42.32,2.73,0.75,8,337.41,0,1.18,1.7,0,0.79,3.75,0,0,0,0,0,61.32,0,2.92,0,0.48
 60-70,0,0,0,0,2.51,0,127.83,0,0,1.18,66.43,0,0,0.87,1.39,0,0,0.67,2.89,0,56.74,2.63,3.28,7.2,258.47,0,0,0.81,0,0,5.69,0,0,0,0,0,27.12,0,11.13,0,5.37
 72-82,0,0,0,0,1.6,0.63,119.97,0,0,2.42,56.87,2.75,0,0,1.12,0.93,0.82,0.51,0,0,73.86,0,0,6.26,306.5,0.5,2.87,2.77,0,0,1.4,0,0,1.28,0,0,35.74,0.71,4.12,5.52,0
 84-94,0,0,0,0,3.68,0.88,74.71,0,0,1.7,22.27,1.23,0,1.68,0.87,0,0,1.39,0,0,55.72,0.91,0.66,4.51,177.48,2.12,0,1.27,0,0,12.66,0,0,0,0,0,15.83,2.16,17.04,4.46,1.69
 96-106,0,0,0,0,5.51,5.22,39.25,1.46,0.62,0,44.26,1.75,0,0.92,0,0,2.23,1.85,0,0,34.37,0,7.81,7.25,122.85,0.62,2.4,0.61,0,4.55,4.28,0,0,0,0,0,3.27,1.28,10.36,0.68,2.2
108-118,0,0,0,0,2.29,0,66.3,0,0.42,1.5,46.09,0,0,0,1.03,0.81,0,2.2,5.41,0,65.85,0,1.08,3.5,190.08,1.58,0.42,2.03,0,2.15,3.2,0,0,0,0.56,0,1.48,0,2.31,0,0.6
120,0,0,0,0,14.21,0,19.73,0,0,0,27.92,0,0,0,0,0,5.24,0,14.43,0,45.54,0,0,6.08,131.18,0,0,0,0,5.46,1.47,2.5,0,0,0,0,4.29,0,16.42,0,0
