stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0
 14-21,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,0,0,0,4.66,0,0,0,0
 24-34,0.7,0.91,0,0,1.26,0,0,0,0,0,0,3.43,0,1.84,4.47,0.97,0,0,2.96,0.83,0,0,0
 36-46,0.6,0.62,0,0,0,0,0,0,0,0,0,1.26,0,1.94,10.12,0,0,0,2.07,1.63,0,3.27,0.66
 48-58,0.38,3.57,0,0,0,0.51,0,0,0,0.38,0,3.86,0,0,4.17,0,0,0,0,1.82,0,0,0
 60-70,0,5.75,0,0,0.65,0.62,0,0,0,0,0.93,1.81,9.11,0,35.8,0,0,1.33,0,1.21,2.25,1.24,0
 72-82,0,5.09,0,2.26,0.57,1.99,0,0,0,0,0,2.51,0,0,8.69,0,0,0,0,5.83,0,0.65,0
 84-94,0.69,7.18,0,1.01,0,0,0,0,0,0,0,3.18,0,1.51,6.21,0,0,0,1.42,0,0,0,0
 96-106,1.86,10.4,0,0,0,0,0.73,0,0,0,0,0,0,1.08,6.14,0,0,0,6.44,0,0,4.44,0
108-118,0,6.78,0.46,0,0,1.13,0.45,0,0.74,0,0,7.54,0,0,13.02,0,0.54,0,0,1.03,0,0,0
120,17.41,0,0,0,14.08,1.66,0,2.19,0,0,0,13.58,0,0,6.97,0,2.45,0,0,0,0,0,0
