stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,45.45,1227.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.12,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,410.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.52,0,12.05,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.62,0,0,100.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,129.95,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,674.01,96.52,0,0,446.64,0,3.07,8.5,5.62,0,0,62.66,0,0,0,0,0
 14-21,0,0,50.74,18.5,394.32,4.59,0,11.48,0,2.85,0,4.01,9.61,8.73,0,0,1.72,0,2.49,0,0,32.04,0,0,33.2,97.37,150.49,3.43,43.46,1.11,0,11.53,5.64,171.03,9.67,261.86,738.5,247.85,0,0,2.3,0
 24-34,0,0,47.89,16.56,183.97,1.31,0,28.45,2.67,24.51,0,3.26,10.58,0,0.94,0,5.33,0,67.89,4.23,0.8,43.29,2.08,0,51.33,140.98,24.95,24.23,66.39,0,0,53.88,0,3.08,11.23,47.66,87.2,89.73,0,0,0.68,0
 36-46,0,0,13.91,1.71,46.21,0,0,6.39,9.6,21.58,7.25,7.04,4.06,0,0,0,1.03,0,63.35,0,7.45,35.67,0.65,0,27.26,103.64,20.63,16.93,85.41,0,0.97,83.33,0.81,0,3.08,27.99,1.77,41.88,0,0,1.55,0
 48-58,0,1.29,16.69,0.43,51.34,0,0,13.83,6.06,8.37,5.66,9.59,0,1.19,0,0,0,0,42.66,4.18,0,37,0,1.38,14.73,88.16,8.8,9.59,53.05,0,0,58.76,0.56,0,2.84,14.39,0,33.49,0,0,0,0
 60-70,0,0,4.79,0,33.12,0,0,24.77,8.15,6.23,2.34,17.22,9.28,0,0,0,1.64,0.67,83.09,0,2.17,62.26,0.62,0.69,5.89,74.94,7.59,11.2,79.52,0,0,36.51,0.64,0,0,4.4,0,5.16,8.51,3.62,0,0
 72-82,0,0,27.27,0,27.35,6.4,0,22.82,12.67,10.35,8.3,39.52,16.98,0,1.42,1.75,3.98,0.83,97.85,18.32,0,135.47,0,5.8,9.08,95.03,4.89,10.44,91.77,0,0,12.49,1.13,0,1.75,9.7,0,12.42,30.31,3.49,0,4.9
 84-94,0,0,21.18,0,69.26,0,0,37.01,19.29,11.04,17.43,53.31,29.15,0,0.6,0,2.18,1.42,119.97,12.17,7.72,94.71,5.12,11.2,8.1,35.04,11.51,30.18,166.81,0,0,54.08,0,0,6.86,10.3,0,20.56,96.49,5.13,1.16,3.02
 96-106,0,0,32.24,0,65.04,4.44,0.97,38.33,22.98,8.75,7.94,70.54,31.64,0,2.51,0.92,3.01,3.61,235.16,3.84,0.67,125.57,0,2.89,12.17,69.18,2.53,26.76,203.58,0,1.05,34.78,0,0,6.18,14.04,0,24.58,184.65,8.89,6.68,19.12
108-118,0,0,45.09,2.59,56.96,3.84,1.81,28.29,25.08,12.48,26.77,49.54,30.25,0,0,0.52,5.25,1.57,178.29,1.43,0.75,150.08,2.35,10.03,18.48,78.88,16.57,32.95,166.52,0,0.95,41.26,1.11,0,6.98,8.76,0,4.06,141.6,6.93,1.67,7.34
120,0,0,14.22,3.17,74.6,0,0,34.11,43.64,5.32,4.11,50.87,29.06,0,1.15,1.16,1.01,0,98.25,18.59,0,170.53,1.65,25.52,9.76,67.5,17.01,13.91,200.3,0,0,32.42,0,0,8.11,1.6,0,11.82,57.1,0,0,28.4
