stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.11,0,0,0,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.58,4.25,0,0,22.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.65,0,3.24,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.81,0,0,0,29.36,0,0,8.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.58,2.66,0,2.63,0,0,0,4.43,0,0,0,0,0,0,0,4.55,0,0,3.96,23.25,0.81,0,0,0.95,0,10.97,0,3.94,0,0,7.39,13.28,0,1.75,0,0
 24-34,0,0,2.67,2.04,0,0,5.46,8.76,0,0,4.12,0,0.62,0,0,0,0,0.62,16.43,0,0,6.69,79.58,0.68,0,0,0,0,23.45,0,0,0,0,3.52,20.9,0,1.52,0,3.23
 36-46,0,0,0,5.56,0,0,5.54,0,3.65,0.6,13.98,0,0,0,0,0,0,0,26.47,0,0,4.21,69.97,0,0,1.2,0,0,52.56,0,0,0,0,0,17.08,0,0,0,8.32
 48-58,0,0,0,9.4,0,0,39.82,0,7.73,1.21,11.13,0,0.9,0,0,0,2.58,0.96,28.28,0,0,2.17,89.56,0,0,0.43,0,0,49.85,0,0,0.74,0,0,16.38,0,5.46,0,3.81
 60-70,0,0,0,21.03,0,0,30.51,0.89,3.43,7.05,15.33,3.6,0,0,0,4.04,0,0,41.94,0,0,1.92,42.75,0,0.84,0.81,0,0,32.05,0,0,0,0,0,43.35,0,3.19,0,7.26
 72-82,0,0,0,6.76,0.54,0,20.31,0,0,0,8.76,2.33,0.55,2.18,0,0.54,0,1.18,54.3,0.77,1.45,9.08,31.44,0,2.29,0,0,0,11.26,0,0,0,2.66,0,0,1.18,21.35,0,9.26
 84-94,0,0,0,5.2,0,0,19.41,0,0,1.93,24.71,0,0,0.65,0.73,0.86,0,1.25,52.6,0,5.11,2.56,29.16,0,0.76,2.6,0,0,30.98,0,0,0,7.29,0,6.35,0,6.43,10.88,0.74
 96-106,0,0,0,11.04,0,0,9.88,0,1.3,1.71,18.23,3.2,0.76,2.6,1.26,9.42,1.22,0,38.49,0.83,1.34,2.65,32.01,0,0.81,0.79,0,0,9.61,0,0,0,0.6,0,1.16,0,10.63,1.22,7.18
108-118,0,1.46,0,11.03,2.64,2.74,19.56,0,2.31,1.35,8.2,2.81,0,0,4.06,4.41,0,1.18,53,0,3.67,5.82,57.83,0.52,0.41,2.23,0,0.86,7.43,0,0,0,0,0,1.02,0,17.97,0,8.77
120,0,0,0,27.19,0,1.6,27.07,0,2.33,0,14.34,0,0,7.01,0,4.95,0,1.79,67.8,0,0,5.16,73.79,0,0,0,0,0,10.85,0,0,0,0,0,0,0,11.59,0,2.34
