stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,87.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,125.39,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,8.06,12.97,0,0,21.64,0,0,0,0,0,0,0,109.71,5.53,0,0,42.72,0,0,0,0,0,0,0,0
 10-12,0,4.21,33.08,0,0,30.24,0,0,0,0,0,0,0,68.61,19.66,0,0,104.3,0,0,8.98,0,0,0,0,0
 14-21,0,0,0,7.72,1.07,6.18,0,0,0,0,0,1.17,5.43,52.38,0,0,0,1.73,0,6.72,0,0.88,1.76,16.47,0,0
 24-34,0,0,0,1.16,0,2.77,0,0.64,0,0,0,7.68,1.03,27.47,0,6.95,0,0,2.93,0,0,0,2.33,9.45,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.67,7.26,0,35.57,0.72,0,2.86,0,0,0,0,6.11,0.8,0
 48-58,0,0,0,0,0,1.88,0,0.68,0.43,0,0,5.37,0.42,0.47,0,0.84,0,0,0,0,0,0,0,0,0.71,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.6,0.75,2.23,0,4.35,0,0,0,0,0,0,0,2.47,0,0
 72-82,0,0,0,0,0,0,0.49,1.2,0,0,0,0.88,0,23.43,0,147.37,0,0,0,0,0,0,0,0,0,3.41
 84-94,0,0,0,0,0,8.91,0,0,0,0,1.52,1.73,0,19.4,0,0.81,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.04,0,10.64,0.97,0,0,2.98,0,31.48,0,31.87,0,0,2.28,0,0,0,0,0,0.58,0
108-118,0,0,0,0.45,0,0,0,0.71,0,0,0,0.72,0,61.54,0,155.35,1.58,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,10.56,0,0,6.94,0,0,0,0,13.44,0,69.08,0,0,0,0,0,0,0,0,0,0
