stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.04,0,0,12.53,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,46.48,0,0,0,13.23,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.4,16.81,0,0,72.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.18,0,0,0.87,0,0,0,43.19,2.74,0,0,0,0,4.27,0,1.02,26.69,1.33,0,9.77,4.7,0,1.97,2.09,52.54,0.96,133.17,0,0,0
 24-34,0,0,0,0,1.52,0,0,2.33,0,0,0,57.24,0,0,0.86,0,0,2.53,0,7.41,80.27,0,5.28,6.92,0,0,0,0,15.06,1.28,97.39,0,3.59,0
 36-46,0,0,0,0,0.64,0,0,16.72,0,0,0,57.05,0,0,0,0,0,3.73,1.12,4.3,96.04,0,1.81,0.8,0,0,0.6,0,10.12,0,76.27,0,0,0
 48-58,0,0,0,0,0.42,0,0,26.56,0,0,0,30.33,0,0,0,0,0.72,5.34,0,0,106.75,0,4.04,11.61,0,0,0,0,1.34,0,61.96,0,0,0
 60-70,0,0,0.7,0,0,0,0,36,0,0,0,27.87,0,0,0,2.52,2.97,8.47,0,1.7,56.84,0,2.54,22.86,0,0,0,0,10.01,0,50.07,0,1,0
 72-82,0,0,0.56,0,1.42,0,0,19.88,0,0.53,1.03,32.81,0,0,0,0,3.54,9.59,0,0.77,66.88,0,3.07,13.4,0,0.71,0,0,2.14,0,20.59,0,4.24,0
 84-94,0,0,0,0,0,0,0,33.16,0,0,0,20.24,0,0,0,0,8.99,22.05,3.98,1.71,35.16,0,3.39,20.81,0,0,0.86,0,1.09,0,24.29,1.03,0,1.17
 96-106,0,0,0,0,11.09,0,0,25.98,0,0,0,14.18,0,0.64,0,0,10.11,6.51,3.47,0,39.19,0,4.24,36.52,0,3.62,1.18,0,0,0,25.39,0,0.82,0
108-118,0,0,0,1.06,0,4.45,0.5,30.18,0.5,0,1.19,20.46,0,1.79,3.63,0,4.6,9.1,0,0.98,67.23,0,3.88,29.65,0,2.15,0,0,0,0,13.22,0,0.94,0
120,0,0,0,0,0,1.69,0,4.76,0,0,0,12.41,0,0,0,0,12.76,13.85,2.4,0,98.02,0,2.28,43.77,0,0,0,0,0,0,6.05,0,0,0
