stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,53.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,3.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,10.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,2.92,0,0,0,0,0,2.19,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,12.85,0,1.25,0,4.11,0,0,0,0,0,2.11,0,0,0,12.89,2.57,0,0,0,5.08,0,0.81,0,0,6.64,0,1
 36-46,0,0,0,0.58,0,0,3.92,0,0,0,0,0,0,0,0,0,0.99,1.01,0.67,0,30.29,3.5,0,0.61,0,15.85,0,1.53,0,0,2.52,0,12.17
 48-58,0,0,0,0,0,0,20.71,2.79,0.38,0,2.84,0.49,0,0,0,0,9.44,0.5,0,3.99,31.52,2.81,0.87,0.41,0,0,0,7.64,0,0,0,0,11.1
 60-70,2.52,0,0,3.79,0.68,0,13.25,0,10.99,0,1.71,0,0,0,0,1.56,21.44,2.4,0,0,19.57,4.91,0,1.6,0,0.63,0,3.69,0,0,1.08,0,3.87
 72-82,0,0,0.69,0,3.08,0,24.03,0.81,14.45,0,7.48,0,0,0,0,0,26.8,4.17,0,0.68,6.61,0.82,0,0.66,0,1.28,0,1.12,0,0.61,0,0,3.23
 84-94,0,0,1.65,0,9.29,0,27.16,0,2.31,0.71,17.22,0,4.56,0,0,10.35,15.42,0,0,0.69,19.58,2.45,0,1.85,0,2.68,0,8.48,0,0,2.38,1.66,8.93
 96-106,0,0,0,1.65,25.69,0,51.34,0,1.76,1.97,11.27,0.66,0,0,0,0,16.8,3.31,0,0,14.2,3.43,1.73,0,0,0,0,0,0,0,2.69,0,2.1
108-118,0,0,0,4.08,4.55,1.02,36.87,0,4.27,3.45,11.35,0,1.89,0.47,0.76,0,14.02,14.84,0,0,18.35,4.6,0,0.86,0,0.81,0.73,0,0.84,0,0.86,0,9.11
120,0,0,11.31,0,0,0,16.15,0,0,3.55,17.3,0,3.65,3.39,0,0,13.07,0,0,2.2,43.26,2.42,15.75,6.42,0,0,0,0,0,0,0,0,4.83
