stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.35,81.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0
  5-6,16.36,194.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.71,0,0,0,14.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.28,0,0,22.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.37,0,0,0,66.17,0,0,20.78,0,0,0,0,0,0
 14-21,0,0,0.98,4.88,3.22,4.11,0,0,3.65,0.94,0,0,0,0,0,4.37,0,4.93,0,5.87,75.52,1.93,1.51,2.87,3.4,0,0.83,0,3.56,0.85,8,17.4,0,0.85
 24-34,0,0,0.6,2.71,0,4.24,0,0,9.42,0,2.18,0,0,0,0,0.68,0,11.27,0.89,7.69,78.85,1.69,3.06,1.43,0,1.14,0,0,0,0,0,26.88,10.82,0
 36-46,0,0,0,0.62,0,1.1,0,0,19.43,0,0,0,0,0,0,0,0,8.26,0.6,0.75,68,0,0.59,0,0,0,0,0,0,0.62,0,21.63,2.49,0.61
 48-58,0,0,0,0,0,5.39,0,0,17.29,0,0,0,0,0,0,0,1.16,8.11,0.45,1.06,49.18,0,0.87,0,0,0,0,0,0,0,0,15.26,0,0
 60-70,0,0,0,0.68,0,6.66,0,0,43.93,6.9,0,0.98,0,0,0,0,2.31,18.68,0,0,38.66,0.98,0.99,1.23,0,0,0.68,0,0,0,0,17.46,5.9,2.83
 72-82,0,0,0,1.56,0,10.63,0,0.84,43.78,0,0,0,0,3.86,1.21,0,0,17.71,1.21,0,55.75,0,0,0.9,0,0,0,0.56,0,0,0,37.15,4.65,9.12
 84-94,0,0,0,0,0,6.63,2.34,0,26.28,1.55,0,0,0.68,0.62,0,0,5.53,20.02,9.66,1.09,29.14,0,0,1.48,0,0,0,0,0,0,0,23.2,3.15,0
 96-106,0,0,0,0.71,0,10.91,0,1.21,26.71,0.71,0,1.82,0.86,0,2.66,0,0,22.96,1.03,1.61,33.13,0,2.15,1.02,0,1.6,7.58,0,0,0,0,26.93,0.67,0.62
108-118,0,0,0,0.57,0,11.16,0,1.4,48.93,2.08,0,2.71,0,1.61,0.51,0.84,2.99,32.24,0,0.5,64.69,0,0.53,1.48,0,0,0.65,0,0,0,0,7.94,2.37,20.47
120,0,0,0,0,0,5.25,0,0,57.03,1.19,0,3.31,0,6.97,0,0,0,34.49,2.61,3.21,31.63,0,0,0,0,0,1.71,0,0,0,0,0,1.69,4.37
