stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.99,0,0,20.32,0,0,0,0,0,0,0,0,0,0
 10-12,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.65,0,0,83.88,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0.84,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,5.27,0,0,0,0,2.1,0,0.93,9.39,2.87,0,0,0
 24-34,0,2.64,0,0,0,2.26,0,0,0,0,0.68,0,1.07,3.27,0,1.23,28.25,0,0,0,0,0,0,1.76,0,0.94,25.51,0,0,0
 36-46,0,2.43,0,0,0,0,10.2,0,0,0,0,0,0,5.57,0,1.09,34.98,0,0,0,0,0,0,0.88,0,0,31.47,0,0,0
 48-58,0,4.44,0,10.34,0,8.13,14.14,0,0,0,0,0,0,1,0,1.02,51.19,0,0,0,0.49,0,0,0,0,0,48.75,0,0,0
 60-70,0,2.32,11.23,194.8,0,0,22.69,0,0,0,0,0,0,12.17,0,0,249.04,0,0,0,0.75,0,0,0,0,0,89.32,0,0,0
 72-82,0,3.1,1.4,581.16,0,1.77,24.86,8.44,10.45,0,0,0,0,19.81,0,8.09,707.79,0,0,0,1.35,0,0,0,0,0,84,0,0,0
 84-94,0,8.7,0,408.71,0,0.7,18.35,19.83,0.57,0,0,0,0,13.12,0,0,439.16,0,0,0,0,0,0,0,0,0,31.64,0,4.46,9.28
 96-106,0,1.26,0,1232.04,1.45,0,10.26,12.81,0,0.96,0,0.81,0,36.83,0,8.53,677.25,0,0,0,2.8,0,0,0,0,0,13.34,0,0.93,0
108-118,0,13.82,0,992.69,0,0,13.38,2.9,0,0,0,0,5.66,41.31,4.77,3.86,786.59,0,0,0,0.94,0,0,0,0.47,0,28.86,0,0,0
120,0,22.18,1.78,366.94,0,2.09,7.03,0,0,0,0,0,0,57.17,0,0,1015.03,0,12.84,0,1.24,0,0,0,0,0,34.49,2.09,0,0
