stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.59,32.88,574.47,148.74,0,206,0,1.82,0,22.85,21.14,5.22,12.9,3.65,14.32,0,1.85,2.66,2.9,204.54,0,0,158.03,2425.53,54.86,7.8,44.52,50.57,0,32.13,3.27,235.76,17.78,45.57,237.02,778.14,0,0,28.74,0,4.57
 24-34,0,3.18,6.77,170.19,23.71,0,443.67,0,14.8,5.84,75.35,8.3,2.51,12.96,15.82,32.86,17.92,11,14.99,11.38,327.79,5.47,0,151.88,4222.4,35.71,46.54,43.82,0,0,122.66,0,0.97,13.9,5.83,50.69,926.7,0,0,129.84,0,6.33
 36-46,0,3.11,1.7,126.9,27.38,0,771.28,10.96,31.19,23.42,175.39,2.49,0,17.54,20.94,13.78,6.74,5.49,0.89,18.51,367.2,3.25,1.48,123.45,4187.53,24.83,30.28,28.71,0,2.1,162.4,0.98,6.9,1.18,0.58,2.18,963.78,0,1.37,73.85,0,53.27
 48-58,0.78,0.9,0,67.89,1.21,0,1310.93,1.63,18.45,24.94,288.46,3.13,2.2,11.42,44.27,12.4,14.91,7.98,7.66,22.66,460.12,10.43,14.76,70.91,2913.1,16.85,19.21,20.51,0,0.4,102.33,0,0.92,4.05,8.85,0,681.49,0,1.28,50.01,0,54.4
 60-70,0,3.8,0,85.83,4.53,0,2210.01,4.22,37.55,24.65,307.07,12.41,2.48,16.03,69.87,5.05,39.9,10.78,1.77,14.62,543.68,9.73,22.43,58.95,2668.91,18.85,24.73,16.33,0,5.14,89.4,0,0,2.08,0,0,423.58,0,12.84,72.05,0,50.24
 72-82,0,10.28,0.56,59.83,43.16,0,1968.18,1.31,25.43,29.35,324.52,15.15,3.85,7.96,63.41,13.68,26.13,9.86,7.23,17.53,703.65,8.61,20.14,66.18,2100.22,3.65,22.4,20.93,0,9.41,73.08,0,8.75,2.42,0,0,235.75,16.52,16.4,94.45,15.33,41.67
 84-94,0,13.02,0,112.49,49.81,0.73,1351.52,1.69,21.63,38.67,295.51,32.57,2.86,9.74,84.33,17.5,15.61,11.87,6.38,3.11,624.21,11.82,29.57,57.12,1438.09,10.22,36.42,25.74,0,5.56,192.86,0,0,9.95,0.63,0,196.5,6.74,24.32,102.61,17.68,11.37
 96-106,1.12,13.42,0,114.62,42.32,3.47,1248.32,5.78,22.14,20.19,353.01,24.44,0,19.96,86.23,10.8,14.34,13.6,29.15,6.54,581.47,9.7,24,42.29,1196.95,6.26,38.58,34.47,0,28.22,121.46,0,0,5.76,0.84,0,83.2,30.58,10.69,101.08,16.06,34.52
108-118,0,11.31,0.74,143.19,33.12,9.97,1146.4,2.29,34.73,23.54,360.52,27.13,0,9.83,116.62,25.23,14.41,19.58,30.9,10.04,658.09,16.73,14.96,46.45,1719.28,7.24,30.17,30.64,0,25.9,133.26,0,0,13.37,0,0,77.3,22,18.32,105.86,24.82,35.77
120,0,8.41,0,156.51,34.72,16.7,813.05,18.62,27.68,5.45,345.67,31.08,0,23.08,85.44,14.45,2.76,10.43,24.52,5.9,455.09,9.58,36.23,66.16,1621.16,17.04,44.27,40.51,0,9.94,99.68,0,0,6.84,0,0,23.6,7.79,7.49,84.32,8.82,8.94
