stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,220.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.81,0,0,0,7.71,0,0,0,0,0,0,0,0,0
  7-9,0,25.98,7.49,0,0,27.9,0,0,0,16.3,0,0,0,0,0,0,381.32,4.97,0,0,268.74,9.93,0,0,0,0,0,0,0,0
 10-12,0,19.58,10.5,0,4.69,47.53,0,0,0,0,0,0,0,0,0,0,441.31,4.1,0,0,140.34,5.07,0,8.2,0,0,0,0,0,0
 14-21,0,0,0,24.87,0,0,0,0,0,0,0,0,0,1.08,0,3.72,43.01,0,0,0,0,13.12,5.06,0,12.29,34.64,12.44,0,0,0.98
 24-34,0,0,0,1.62,0,1.47,0,0.71,0.66,0,0,0,0,1.68,0,0.69,15.07,0,0,0,0,12.51,0,0,0.61,0,6.98,0,0,0
 36-46,0,0,0,0,0,1.81,0,0,0,0,0,0,0,4.15,0,2.9,18.31,0,0.6,0.63,0,7.9,0,0,0,0,1.02,0,0,0
 48-58,0,0,0,0,0,1.82,1.03,3.43,1.57,0,0,0.62,0,8.21,0,3.53,7.47,0,2.08,0,0,6.74,0,0,0,0,0.56,0,0.61,0
 60-70,0,0,0,2.93,0,1.65,0.68,0,1.13,0,0,0,0,12.58,0,4.43,5.43,0,0,0,0,3.24,0,0,0,0,0,0,0.9,0
 72-82,0,0,0,0.69,0,9.6,0,0,1.11,0,0.68,0,0,11.89,0.88,2.12,11.07,0,1.43,0,0,1.11,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.18,0,0,0,0,0.75,0,0,0,0,10.05,0.57,0,2.57,0,0,0,0,4.03,0,0,0,0,0,0.74,0,0
 96-106,0,0,0,0,0,1.47,0,0,3.44,0,0,0,0,7.83,0,0.7,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0.65
108-118,0,0,0,0,2.45,6.23,0,0,0,0,0,0.73,0.61,15.14,0,1.09,10.01,0,4.14,0,0,1.67,0,0,0,0,0,0,2.34,0
120,0,0,0,4.61,0,2.8,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0
