stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,40.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.52,0,13.1,0,0,0,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.34,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.96,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.19,9.79,0,0,26.34,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,16.21,1.89,0,4.09,0,0,0,1.22,0.92,2.13,0,0,0,0,0,0,0.87,9.84,0,0,18.01,47.82,0.81,1.04,0,2.55,0,23.28,12.17,0,3.81,25.53,28.96,0,1.24,0,0
 24-34,0,0,0.61,3.25,3.85,0,0,16.02,0,3.25,0,3.43,0,0,0.67,1.89,0,4.08,0,0,0.66,19.43,0,0.89,9.98,233.65,2.89,3.46,2.28,0,0,18.58,0,1.46,0.95,7.4,55.31,0,4.91,0,0
 36-46,0,0,0,0.96,3.01,0,0,30.08,3.42,1.17,0.78,4.16,0.56,0,0,0,4.21,0,3.34,0,10.28,31.03,0,0,3.32,161.8,2.97,3.09,5.66,0,0,24.3,0,5.37,0,0,23.72,0,7.25,0,0
 48-58,0,0,0,0,20.91,0.81,0,67.61,3.9,7.8,0,12.29,0.86,3.95,0,6.12,0.49,0.47,0,3.77,3.39,22.95,0.82,5.06,1.62,193.07,1.2,1.45,2.83,0,0,28.23,0,1.65,0.45,0,24.75,0,14.6,0,12.7
 60-70,0,0,0,0,2.38,0,0,45.88,1.3,0.59,9.59,18,0.85,0,0,0,0.62,1.91,0,3.26,0,31.83,0,8.42,0.68,133.46,0,1.78,12.89,0,0,15.42,0,0,3.33,0,19.48,0,3.01,0,12.68
 72-82,0,0,2.26,0,11.76,0.67,0,109.95,0,0,1.16,12.56,2.38,0,0,5.1,0,6.62,0,0,6.5,28.08,0.78,1.11,8.78,160.21,0.52,5.06,1.93,0,0,9.52,0,0,0,0,11.25,2.71,20.41,0,15.72
 84-94,0,0,0,0,4.86,0.79,0.59,51.74,0.64,1.49,0.58,12.72,4.35,0,0,5.61,0.74,8.78,0,0.67,4.56,28.58,0,3.76,3.31,126.48,2.8,2.64,5.33,0,0,17.84,0,0.9,0.69,0,2.23,0,1,4.37,0.76
 96-106,0,0,0.87,0,7.38,2.1,0,52.13,5.47,1.41,0,21.95,2.94,0,5.21,6.01,0,1.49,1.11,1.13,0,18.77,1.13,0,2.48,99.23,0,2.28,1.25,0,3.05,14.9,0,0,0,0,6.1,3.79,7.37,0.69,0.8
108-118,0,0,0,0,13.17,0.94,7.05,61.67,0.42,1.61,2.99,12.66,1.7,0,0,4.05,0.44,3.6,0,0.94,2.6,40.02,6.27,0,2.02,99.56,0,6.73,5.73,0,0.91,19.87,0,1.21,0.43,0,0,2.27,12.42,2.16,6.31
120,0,0,0,0,48.47,19.46,1.89,82.27,10.22,4.79,9.39,70.96,13.24,0,0,8.48,4.67,5.15,0,18.38,0,99.22,0,6.62,12.23,142.31,1.39,20.98,2.08,0,13.12,12.53,0,3.05,0,0,7.24,0,18.09,0,1.16
