stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,10.37,4.37,0,0.94,0,0,0,0,0
 24-34,0,0,1.12,0,0,0,0,0,0,0,0.91,0,0,0.64,74.51,0,1.74,0,0,0,5,0.81,15,0,0,1.55,0,0
 36-46,0,0,0,0,0,0,0.69,0,0,0.89,4.32,0,0,0,212.85,0,0,0,0.62,0,0,0,30.48,0,0,0,0,0
 48-58,0,0,13.96,7.64,10.48,0,0.6,0,0,0,3.35,0,0,0,414.66,0,0,4.54,6.76,0,0,0,44.18,0,0,0,0,0.68
 60-70,4.72,0,38.67,5.73,3.48,0,5.1,0,0,0,4.13,0,0,3.46,514.42,6.52,0,0.77,2.77,0,0,0,129.85,0,0,0.73,0,0
 72-82,1.07,0,67.67,0,6.52,1.68,0,0,0,0,21.56,0,1.33,0,777.25,0,0,1.16,2.46,0,0,0,101.74,1.69,0,0.91,0.76,0
 84-94,2.9,4.77,75.86,0,6.17,1.44,0,0,0,0,11.26,0.76,0,0,524.92,0,0,0,7.88,0,0,0,50.97,0,0.88,0,0,0
 96-106,1.36,0,44.66,0,19.93,0,0,3.95,0,0,11.51,0,0,0,372.01,0,0,0.74,1.04,0,0,0,31.48,0,0,0,0,0
108-118,4.33,0.6,46.52,0.48,10.81,0,0,0,1.22,0,18.95,0,0,1.38,546.98,0,0,0.48,0,0,0,0,13.3,0,0,1.03,0,0
120,3.86,0,68.26,3.8,13.74,0,4.83,0,0,2.32,26.76,0,0,0,1001.87,0,0,0,0,0,0,0,57.88,0,0,19.01,1.99,0
