stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,6.56,37.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,20.3,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.37,0,0,32.58,0,0,0,0,0,0,0
 14-21,0,0,2.51,1.91,0,0,0,0,0,0,0,0,0,0,0,7.14,17.28,1.29,0,0,0,3.66,0,3.87,4.96,0,0
 24-34,0,0,1.01,0,0,0,0,0,0,0,0,0,0,7.92,0,0,49.68,0,0,0,0,0,0,0,14.66,0,0
 36-46,0,0,1.36,0,0,0,0,3.54,0,0,0,0,0,0,0,0,39.24,0,0,0,0,0,0,0,21.48,0,0
 48-58,0,0,1.86,2.99,1.34,0,0.68,19.96,0,0,0,0,0,1.4,0,0.4,33.29,0,0,0,1.29,0,0,0,12.8,0,0
 60-70,0,0,0.75,5.39,0,0,0,6.79,0,0,0,0,0,0.8,0,0,21.29,2.95,0.84,0,0.65,0,1.58,0,5.1,0,0
 72-82,0,0,0,4.31,0,0,0,2.22,0,0,0,0,0,2.94,0,0.51,5.49,0,0,0,0,0,0,0,5.45,0,0.86
 84-94,0,0,0,2.67,0,0,0,2.65,0,0,0,0,3.72,0,0,0,6.15,0,0,0,0,0,0,0,0,1.03,0
 96-106,0,0,0,7.37,1.34,0,0,1.36,0,0,0,0,0,6.14,4.1,0,8.46,0,0,0,0,0,0,0,0,1.02,0
108-118,0,0,0,2.04,0,0.95,0,3.81,0.65,3.72,0.87,1.26,0,3.31,0,0.55,3.28,3.54,0,0,2.03,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96
