stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.81,0,1.1,0,0,0,2.95,0.86,0,1.55,0.88,0.83,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.64,0,4.43,0.63,0,0.62,10.88,0,0.62,0.61,0,1.16,0,0,0,0
 36-46,0,3.4,0,2.71,0,0,0,0,0,0,4.7,0,0,0,25.57,0,0,2.28,0,5.62,0,0.61,0,0
 48-58,0,0,0,0.4,1.13,0,0,0,0,0,0.44,0,0,0,21.63,0,0,0.52,0,4.6,0,0,0,2.5
 60-70,0,0,0,15.87,0,2.92,0,0,0,0,3.84,0,0,0,47.79,1,0,2.04,0,7.46,0,0.71,0,18.97
 72-82,0,0,0,10.78,0,6.49,0,0,0.52,0,3.91,2.35,0,0.66,46.53,0,0,0,0,1.48,0,0,0,0
 84-94,0.7,1.17,5.13,3.2,0,10.27,0,0.58,0,0,12.36,0,1.4,3.09,31.31,0,0.97,21.86,0,4.46,1.46,0,0,9.81
 96-106,0,0,0,11.16,0,4.76,0,0,0.86,0,9.45,0,0,0,18.72,0,0.65,10.72,0,0,0,0,0.74,1.06
108-118,0,0,0,10.64,0,1.15,3.09,0,1.12,0.86,3.47,0,0,0,12.18,0,0,7.98,0,0,0,0.77,0,1.98
120,0,16.9,0,4.82,0,0,0,0,0,0,0,0,0,3.67,21.3,0,0,7.91,0,0,0,0,0,0
