stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,0,126.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,153.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,17.96,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,4.55,0,0,0,0,0,0,0,0,4.2,0,4.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.92,1.18,0.82,0,0,0,0,0,1.35,2.12,10.63,0,0,0,0,3.15,0,5.8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0.71,0.63,10.98,0.83,0,0,1.1,0,0,2.88,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,22.72,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.69,0.5,0,0,0,0,0.5,1.07,0,23.14,0,0,0,0,0,0,8.54,0,0
 60-70,0,0,0,0,0,0,2.36,3.72,0,0,0,0,0,0,0,32.43,0,0,0,0,0,0,13.56,0,10.45
 72-82,0,0,0,0,0,0,4.66,5.94,0,0,0,0,0,1.57,0,7.17,1.2,0,0.8,0,0,0.63,1.71,0,0
 84-94,0,0,0,0,0.82,0,1.7,8.21,0,0,0,0.58,0,0,0,6.17,1.86,0,0,0.67,0,0,1.41,0,0
 96-106,0,0,1.08,0.72,0,0,1.75,5.59,2.3,0.7,0,0,0,1.54,0,55.6,3.57,0,0,2.43,0,4.95,5.69,0,1.13
108-118,0,0,2.38,0,0,0,4.62,12.56,3.87,0.66,0,3.18,0.68,5.71,0,9.42,1.09,0,0,0.41,0,1.57,5.39,0.9,0
120,0,0,0,0,0,0,0,7,2.77,0,0,0,0,0,0,20.8,0,0,0,2.33,0,0,14.9,0,0
