stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,1.01,0,0,14.3,55.32,0,0,0,0,0,1.17,0,5.3,7.95,54.9,0,0,0,0
 24-34,0,0,0.97,0.88,0,2.47,0,0,0,1.5,0,0,0,2.11,0,0,0,0,12.45,0,0,40.67,406.19,5.86,0,0,0,0,0,0,0,0,167.62,0,0,0,0
 36-46,0,0,0,0,0,26.93,0,0,0,8.09,0,0,0,0,0,0,0,0,10.35,0,0,12.23,929.22,5.2,4.08,0,0,0,0,0,0,0,245.07,0,2.45,0,0
 48-58,0,0,0,2.82,0,147,0,0.38,1.13,19.11,0,1.08,0,0,0,0.41,0,1.15,19.31,0,0,6.09,1218.25,0.8,0,0,0.39,4.95,0,0.53,0.45,0,298.47,0,0.58,0,0
 60-70,0,0,0,6.11,0,418.74,0,0,0.8,37.77,3.41,0,0,0,0,0,0,0,12.31,0,0,1.1,1528.91,2.31,0,0,0,3.55,0,0,0,0,309.9,0,0,0,0
 72-82,0,0,0.93,4.15,0.92,565.23,0,0,4.1,22.69,0.93,0,5.52,0,0,0,0,6.19,27.6,0,0,2.03,1459.31,1.14,0,0,2.35,1.01,0,0,0,0,179.93,0,0,0,5
 84-94,0,0,2.23,7.65,0,330.75,0,0,0,25.15,0,0,0,0,0,0,1.81,0,15.55,1.6,1.52,0,872.58,2.33,1.69,0,0,2.03,0,0,0,0,139.28,2.05,0,0,0
 96-106,0,0,0,7.9,1.26,348.48,0.89,0.57,0.62,16.11,0,0,0,0,0.75,0,4.97,0,7.87,0,0,7.68,667.58,0,0.79,0,0,7.75,0,0,0,0,41.2,0,1.98,1.22,0
108-118,0,0,0.79,9.92,0,366.55,0.54,1.45,0,13.14,0,0,0,0,0,0,0,0,16.04,0,2.15,5.45,833.97,0.48,0,0,0,1.42,0,0,0,0,52.82,0,0,0,1.42
120,0,0,0,34.22,0,275.62,0,3.08,0,37.85,0,0,0,0,0,0,0,0,22.42,0,0,3.71,1391.26,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0
