stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.05,3.47,12.47,4.04,6.15,0,0,4.14,0,1,0.85,0,0.82,0,0,0,1.05,9.74,0,0,11.14,152.34,4.41,0,0.96,3.52,0,1.74,10.56,0,1.17,4.54,47.31,0,0,1.02,0,0
 24-34,0,0,0.94,7.96,3.7,132.89,0,1.36,14.88,0,0,0,0,0.83,0,0.78,0.67,0,56.79,0,0,16.09,890.86,0,9.03,9.5,0,0,2.59,0,0,0,0,161.52,0,0,14.07,0,0
 36-46,0,0,0,4.2,4.01,220.69,0,0,22.95,3.69,0,0,0,0,16.46,0,8.83,0,31.25,0,0,9.18,638.53,0,2.26,13.73,0,0,12.03,3.04,0,0,0,98.05,0,0,2.3,0,2.63
 48-58,0,0,0,22.45,2,353.51,3.37,0.41,49.03,0,0,0,4.73,0,0,0.5,1.52,0,27.46,2.38,10.41,12.17,416.99,2.89,1.71,25.3,0,0,9.3,0,0,0,0,61.83,0,0,9.04,0,2.18
 60-70,0,0,0,22.77,0,297.65,4.82,0,30.07,2.24,0,0,0,0,0.67,1.55,5.53,0,34.26,1.53,1.82,2.98,316.25,0,0.62,1.27,0,0,0.75,0,0,0,0,20.2,1.72,0,12.59,0,0
 72-82,0,0,0,4.89,0.61,60.19,0,0,19.74,1.38,0,0.75,0,0,0,0,0,0,37.12,0,0,1.91,107.95,0,0.68,1.73,0,2.17,1.6,0,0,0,0,0.79,0,0,8.17,0,0
 84-94,0,0,0,1.77,0,61.37,0.63,3.38,10.4,0,0,0,2.27,1,0.66,0,0,0,21.96,0.84,1.51,1.13,52.82,0,1.6,0,0,0,0,0,0.64,0,0,6.78,1.03,0,5.56,0.61,0
 96-106,0,0,0,0.6,0,24.56,0,0,7.41,0,0,0,0.56,2.81,0,0,0.73,0,17.8,0,0,2.58,49.74,0,0,0.6,0,0,1.19,0,0,0,0,0,0,1.21,7.53,1.41,0
108-118,0,0,0,2.71,1.57,25.56,0,1.25,7.97,1.17,0,0,1.86,0,0,0.6,0,0,4.37,0,0,6.21,42.25,1.51,0,0.49,0,0,0,0,0,0,0,0.65,0.51,0,0,0.96,0
120,1.12,0,0,11.97,17.46,105.16,0,0,47.23,1.3,0,0,3.44,0,1.18,0,0,0,17.66,0,9,7.93,207.36,2.06,0,0,0,0,1.04,0,0,0,0,0,0,0,5.68,0,0
