stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.78,0,0,0,36.32,0,0,0
 14-21,0,0,0,0,2.67,0,0,0.84,1.08,0,0,0,0,0,0,2.73,0,0,42.13,9.57,0,0,0.86,6.43,1100.69,1188.43,12.66,0,0
 24-34,0,2.59,0,0,4.09,89.02,0,2.16,0,1.18,0,0.64,0,1.16,0,5.69,0.76,0,58.52,42.35,1.36,0,11.04,1.19,311.22,577.8,12.76,2.94,0
 36-46,0,1.24,0,0,4.41,103.67,0.95,0,0,0,0,0,0,0,6.66,10.35,0,0,38.97,67.26,1.14,0,0,0,149.85,17.27,10.08,0.65,0
 48-58,0,0,0,0,19.58,84.04,0,6.3,0,0,0,0,0,0,0,6.09,0,0.52,68.84,60.56,0,0,0.66,0,85.03,0,9.38,0,0
 60-70,0,0,0,0,18.42,97.11,0,3.77,0,0,0,0,0,1.63,0,21.05,0,0,85.86,25.42,0,0,3.69,0,66.12,0,7.19,0,0
 72-82,0,0.9,0,0,10.93,65.48,0,0,0,0,0,0,2.9,0,0,7.87,0.56,0,71.82,37.95,0,0,0,0,36.68,0,1.4,6.67,0
 84-94,0,3.25,1.03,0,10.13,109.42,0,0,0,0,1,0,0,0,0,12.47,0,0,62.63,36.8,0,0,5.4,0,52.83,0,0,0,0
 96-106,0,0,4.65,0,27.54,129.76,6.04,2.14,0,0,4.11,0,0,0.59,0,14.81,3.81,1.82,70.88,25.3,0,0,3.97,0,80.04,0,0,5.44,5.14
108-118,0,2.51,1.04,0,10.79,96.1,6.46,6.94,0,0,0,0,0,0.43,0,26.71,0,3.97,96.17,35.03,0.42,0,4.82,0,51.26,0,0,0,8.79
120,0,4.61,1.75,2.59,6.82,121.05,0,0,0,0,0,0,0,0,0,12.52,0,0,93.47,37.44,0,0,0,0,25.9,0,0,0,0
