stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,11,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.43,0,0,0,0,2.71,0,0.85,1.75,0.88,0,0,0,0,0
 24-34,0,0,0,2.48,0.89,4.08,0,0,1.7,0,0,0,1.95,0,0,0,0.9,8.3,0.81,0,2.87,7.42,0,0,0.62,0,0,0,1.38,0,2.44,0,0,5.78,0,0
 36-46,0,0,0,0,0,2.36,0,0,1.45,0,0,0,0,0,0,1.55,0,28.02,0,4.87,4.24,25.12,0,0,0,0,18.3,1.39,0,0,4.17,0,0,1.33,0,0
 48-58,0,0,0,0,0,15.03,0,0,8.93,2.58,0,0.42,3.44,0,4.61,0,0,30.76,0,0,7.76,27.41,0,0,0,0,4.56,0,0,0,1.61,0,0,1.33,0,0
 60-70,0,0,0,0,0,22.38,0,0,10.27,1.5,0,0,0,0,1.91,0,0,82.51,0,0,7.64,39.58,0,1.22,0,0,3.04,0,0,0,3.71,1.22,0.9,0,0,0
 72-82,0,0,0,0.69,0,10.27,0,0,30.14,0.64,0,1.42,0,0,3.43,0,0.49,166.85,0,11.27,17.74,39.43,0,0,0,0.89,0.97,0,0,0,4.71,0,0.56,0.6,2.52,0
 84-94,0,0,0,0.57,0,14.99,0,0.65,24.04,2.29,0,0,0,0,6.66,0,2.36,147.5,0.75,0,7.28,10.48,1.25,0,0,0,14.22,0,0,0,0,0,0,1.19,0,0
 96-106,0,0.63,0,0.87,1.17,19.54,0.67,0,12.66,5.21,1.5,0,0,0,6.75,0,0,158.17,0,5.56,5.95,26.48,0.73,0.58,0,0,5.26,0,0,0,0,0,3.29,1.91,2.17,0
108-118,0,0,0,0,0.89,7.11,0,5.05,26.41,3.11,0,0,2.57,0.91,10.22,0,1.09,199.23,0,10.33,4.96,39.73,0,0,0,0,3.14,0,0.54,0,0,0,2.21,7.84,2.1,3.46
120,0,0,0,3.86,0,32.48,1.14,2.75,3.27,1.21,0,0,0,0,5.93,0,0,187.85,0,36.11,5.55,40.18,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0
