stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,5.71,109.58,18.67,0,89.02,0,0,0,33.98,1.32,1.57,0,3.61,0,0,0,0,47.83,0,0,52.94,1053.4,20.82,5.3,4.74,15.98,0,64.68,45.52,0.81,3.09,34.52,170.44,0,0,0,0,0
 24-34,0,1.71,4.42,61.22,2.93,0,295.54,0,0.85,0,25.76,0.9,4.56,2.61,1.48,0.63,2.13,0,9.55,180.79,0,3.25,47.13,1988.87,6.47,8.99,19.8,0,0,55.43,0,3.65,0.78,2.87,307.56,0,0,59.1,0,9.57
 36-46,0,0,0.6,23.71,0,0,351.02,0,4.09,0,7.49,0.58,0,9.89,0,0.83,0,0.67,0,102.93,0,0.88,21.76,831.36,0.66,4.74,3.38,0,0,28.65,0,0,0,0,129.96,0,0,14.49,0,0
 48-58,0.77,0,0,44.06,0,0,794.35,0,0,1.22,67.56,2.2,0,1.49,4.56,0.77,1.58,0.76,0,188.22,0,7.02,19.73,1147.66,4.5,2.29,4.21,0,0,5.67,0,1.38,0,0,159.15,0,0,3.71,0,0
 60-70,0.81,0,0,39.88,1.44,0,347.63,0,4.28,0.86,32.66,2.3,0.66,0.72,0,0,2.7,0,0,120.79,0,3.3,30.17,493.12,4.48,2.74,2.82,0,0,7.41,0,0,0,0,45.25,0,0.73,2.21,0,0
 72-82,0,0,0,10.67,0.57,0,181.86,1.21,0.49,4.98,42.74,6.02,0.5,1.01,1.95,0.72,0.55,0,0,86.26,0.71,3.41,6.22,393.88,0,2.97,5.62,0,2.85,0.68,0,0,0,0,22.04,1.84,0,10.25,0,0
 84-94,0,0,0,27.92,0,0,92.99,0,0.6,1.17,21.28,2.73,0,1.34,0.56,0,0,0,0,80.72,1.57,2.19,8.35,150.35,1.05,0,1.32,0,1.59,6.8,0,0,0,0,23.58,4.06,0,10.45,0,0
 96-106,0,0,0,18.59,0,0,84.69,0,0,0,21.6,4.16,0,4.64,1.75,0,2.71,0,0,33.93,0,3.17,5.99,283.14,1.24,1.54,2.54,0,0,7.7,0,0,0,0,7.81,0,0.89,5.76,0.68,0
108-118,0,0,0,6.53,1.2,2.18,79.69,0,0,2.02,20.99,5.01,2.69,0,1.81,1.18,0,2.21,0,26.75,0,8.86,1.43,216.87,1.51,2.83,3.26,0,0,3.63,0,0,0,0,0.7,1.51,0,0,0,0
120,0,0,0,9.28,1.93,0,116.99,0,1.08,0,45.61,6.55,0,9.2,0,0,0,0,0,28.4,0,0,7.54,285.58,1.1,1.29,0,0,0,3.21,0,0,0,0,0,0,0,8.16,0,0
