stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,9.29,2.48,0,0,0,2.03,0,0,7.6,1.27,0,0,1.65,0,0
 24-34,0,4.02,0,0,1.75,0,0,0,0,0,9.59,3.1,0.72,0,0.72,0,23.53,0,1.71,15.73,2.6,0,0.64,0.99,8.07,0,0.95,1.27,0.66,0,0,2.66,0,0
 36-46,0,5.62,1.22,0,0,0,0,0.87,0.88,0,6.67,6.41,0.93,0,0.72,0,48.66,0,17.77,14.06,14.17,0,0,1.69,2.68,0,0,0,0.73,0,1.04,0,0,0
 48-58,0,12.21,1.16,0,6.48,1.14,8.04,14.68,2.65,0.56,9.12,59.42,0.49,0,0.5,0,111.59,0,42.85,33.52,25.07,0,0.39,1.52,0,0,0,0,7.46,0,1.49,3.32,0.9,0
 60-70,0,3.06,0,0,3.28,0.59,7.61,9.47,7.6,0,15.48,49.68,0,0,0.72,1.7,142.76,0,78.9,26.05,20.21,0.83,1.26,9.71,0.68,0,0,0,8.05,0,16.74,2.3,12.53,0
 72-82,0,3.99,3.75,0,30.29,0,4.58,27.43,19.97,0.84,9.07,90.7,0,0,1.59,1.24,214.41,0.51,98.66,16.85,41.75,0,3.24,40.95,0,1,0,0,9.49,1.21,56.95,15.45,108.38,0
 84-94,1.26,13.02,13.18,0,8.77,0,0,15.55,11,4.75,17.91,103.26,1.78,0,2.14,0,154,0,90.33,27.12,16.61,0,4.49,10.95,2.39,0.74,0.55,0,10.51,0,59.52,3.4,87.88,0
 96-106,0.81,5.11,12.62,0,19.45,1.58,3.07,55.15,9.53,4.87,12.82,105.98,3.77,0,6.82,11.58,366.34,0,92.03,54.65,55.9,1.01,4.64,58.11,0,1.33,0,0,1.8,0,36.24,10.12,93.9,0
108-118,0,12.15,14.61,0.5,25.7,1.09,2.51,11.54,38.2,9.23,13.03,87.87,1.91,2.68,0.45,1.35,392.48,0,95.72,39.6,63.58,4.42,3.87,68.64,4.81,1.1,0,0,3.59,2.22,28.01,39.7,101.6,7.36
120,0,21.05,4.6,2.02,0,3.62,0,40.03,32.58,13.79,11.47,195.45,4.62,0,0,4.54,381.72,0,156.33,34.98,22.35,0,0,148.2,0,0,1.32,0,1.75,0,32.12,17.64,110.34,0
