stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,103.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.83,0,0,0,4.9,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,53.75,13.29,0,0,67.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.9,71.98,0,0,32.28,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,142.76,121.54,0,0,595.09,0,0,0,0,5.88,0,6.84,0,0,0,0,0,0
 14-21,0,0,79.1,3.75,0,0,0,0,4.38,0,0,0,0,0.94,0,0,0,0,40.08,0,0,2.01,108.3,50.94,0,1.14,77.41,0,0,0,210.43,0,0,41.24,68.06,0,0,6.62,0,0
 24-34,0,0,39.67,0,0,0,0,6.56,6.08,0.67,0,2.22,0,0,0,0,0,0.69,101.18,0,0,11.58,12.43,7.03,2.62,0,0,0,1.82,0,1.53,0,1.26,69.07,49.26,0,0,19.2,0,0
 36-46,0,0,9.85,0,0.8,0,9.69,18.03,17.4,0,0,1.58,0,0,0,0,0,0,163.15,0,0,17.79,25.31,3.33,0.59,0,0,0.97,1.32,0,0,0,1.75,0.83,57.71,0,0,13.03,0,0.67
 48-58,0,0,9.17,0,12.02,0,0.87,21.69,19.92,0,2.08,1.8,0,0,0,0.73,0,0.4,283.67,0,0,6.68,35.95,1.5,0,0.85,0,0.93,0,0,0,0,0,0,72.44,0,0,4.96,0,3.22
 60-70,0,0,5.02,0,13.61,1.34,0,32.74,19.74,0,2.38,0,0,0,0,0.72,0,0,587.01,0,3.5,23.26,30.84,1.36,0,1.67,0,0,0,0,0,0,0,0,31.91,0,2.7,3.36,0,10.91
 72-82,0,0,8.1,0,11.56,1.84,1.74,14.13,25.6,0,0,1.04,0,0,2.81,1.39,2.65,7.3,739.68,0.66,0,14.96,45.47,1.96,0,3.59,0,0.89,0.59,0,0,0,0,0,12.31,0,7.85,3.34,5.23,19.24
 84-94,0,0,23.79,0,19.46,0,5.12,23.39,14.71,0,0,12.4,0,0.56,6.77,2.35,0,10.42,697.27,1.22,1.44,19.83,31.4,0,4.92,4.89,0,2.3,8.31,0,0,0,0,0,23.89,1.03,5.83,9.42,7.11,6.94
 96-106,0,0,22.69,0,19.41,1.33,2.92,9.32,38.91,1.53,0,3.93,0,0,0.91,3.67,0,0.65,493.51,1.66,1.24,8.76,29.9,1.26,9.06,0,0,0,3.73,0,0,0,0,0,10.07,1.65,1.7,3.65,0,12.3
108-118,0,0,25.58,0,13.65,0.75,5.67,9.37,22.99,2.86,0,2.52,0.98,0,9.02,0.45,0,1.07,530.95,1.18,2.94,10.84,52.02,0,0,0.42,0,0.86,1.19,0,0,0,0,0,12.96,0,0.88,2.45,0.72,6.61
120,0,0,14.97,4.28,21.12,19.31,3.44,20.06,47.07,0,0,0,0,5.01,0,2.53,0,0,387.92,0,4.3,3.72,19.02,0,1.91,6.04,0,0,3.57,2.5,0,0,0,0,19.53,0,5.29,0,0,10.22
