stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.91,1586.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.33,0,0,0,0,0,0,0,0,0
  5-6,664.57,5733.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.85,14.05,0,0,52.37,0,545.92,0,0,0,0,0,0,0,0,0
  7-9,60.6,36.08,0,8.43,0,0,0,328.23,0,0,0,0,0,54.56,0,0,0,0,0,0,0,0,0,0,0,1802.63,163.21,0,0,397.53,0,187.75,0,0,0,0,0,0,0,0,0
 10-12,0,28.97,0,10.3,0,0,0,46.35,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,356.63,31.93,0,0,91.06,0,65.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,187.17,2.31,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,1.19,0,0.81,1.48,0,0,24.96,0,0,47.59,2.11,0,2.81,3.9,0,0,0,0,0
 24-34,0,0,18.83,0,273.93,0,0,2.9,0,11.66,0,0,1.93,0,0,0,1.1,0,0,0,0,2.72,0.91,0,0,53.76,0.6,3.21,7.34,0,0,6,0,2.73,0,5.48,0,0,0,0,0
 36-46,0,0,2.4,0,130.94,0,0,0.71,0,7.87,0,0,0,0,0,0,0,0,0,0,0,20.41,0,0,1.95,140.77,0,0.64,0.61,0,0,0,0,0,0,2.69,0,0,0.86,0,4.56
 48-58,0,0,7.32,0,135.79,0,0,4.63,0,5.81,5.89,32.09,4.78,0,2.98,0,0,5.03,0,0,0,221.54,0.95,11.38,4.21,150.53,0,0,0,0,0,0.59,0,0,0,30.4,0,0,3.6,0,4.08
 60-70,0,0,18.4,0,41.09,0,0,33.42,0,2.06,0.98,208.64,3.14,0,5.47,0,0,16,0,0,0,1742.46,0,57.01,8.09,311.97,0,0,0.83,0,8.78,0,0,0,0,18.8,0,56.12,7.71,28.56,0
 72-82,0,0,32.93,0,34.76,4.14,0.84,160.16,1.95,0,16.1,461.5,3.43,0,18.92,2.93,0,6.31,0,10.92,0,2827.5,1.3,149.14,18.58,350.11,0,0,0.5,0,36.71,2.5,0,0,0,11.01,0,92.27,122.07,89.17,0
 84-94,0,0,23.57,0,64.35,2.06,0,195.77,8.36,5.88,14.68,487.85,6.67,0,1.42,1,3.11,24.86,0.73,2.4,0,2641.43,0,175.52,6.13,221.53,0,0,1.37,0,28.88,4.56,0,0,0,22.7,1.28,67.89,100.68,149.05,0
 96-106,0,0,31.34,0,54.35,4.29,8.14,184.77,15.09,0,18.76,426.11,12.48,0,16.42,1.53,0.73,62.65,2.46,8.57,0,2606.49,0,267.96,22.67,559.13,0,2.47,0.94,0,133.98,5.02,0,0.68,0,29.78,0.64,90.9,172.05,333.49,3.48
108-118,0,0,29.84,0,61.82,2.62,0,114.96,3.99,1.45,4.16,494.58,12.66,0,3.66,0.44,0.47,69.09,0,0,3.18,2972.03,0,275.31,18.51,358.31,1.94,3.09,1.12,0,232.74,8.35,0,0.44,0.59,19.67,3.08,75.56,306.37,292.88,8.51
120,0,0,30.04,0,53.15,4.24,14.33,211.13,6.42,22.19,0,613.9,25.73,0,7.91,2.4,2.26,94.97,10.57,5.59,0,4697.31,1.65,786.34,56.24,700.84,2.33,13.89,0,98.68,251.16,6.21,0,0,0,28.98,0,119.58,396.69,1158.12,7.88
