stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.23,94.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.98,0,3.84,0,0,0,13.5,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,54.45,14.06,0,0,110.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.39,0,0,0,235.85,0,0,0,9.27,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.49,0,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.89,4.13,1.37,0,5.03,0,0,1.8,0,0,909.69,0,0,0,0,0
 24-34,0,0,0,0.59,0.73,0.66,0,3.27,0,0,0,2.2,0,0,0,0,0,0,0,9.68,0,0,1.51,2001.13,0,0,12.14,0,0.64,0,0,0,0,587.69,0,0,0.65,0,3.2
 36-46,0,0,0.85,0,0.6,0,0,5.47,0,0,0,1.74,0,0,0,0,0,0,0,33.64,0,0,3.55,5776.28,0,0,4.48,0,0,0,0,0,0,755.53,0,0,0,0,0
 48-58,0,0,0,0,14.27,1.4,0,115.94,0,0.4,2.65,20.83,0,0,0,0,0,0,3.59,24.29,0,0,0.39,4551.18,5.12,0.47,25.53,0,7.36,0,0,0,0.5,442.1,0,0,2.67,0,5.57
 60-70,0,0,0,0,0.57,0,0,83.62,0,0,4.87,40.77,0,0,2.11,1.31,0,0,0,38.57,0,0.69,1.5,5854.3,3.91,1.62,6.1,0,1.67,0,0,0,0,165.88,41.57,0,0,0,0
 72-82,0,0,0,0,2.32,2.4,0,1444.06,0,0,0,25.4,5.26,0,3.07,0,0,0.61,0,150.64,0,0,4.78,13349.48,0,6.37,5.06,0,4.13,0,0,7.74,0,117.97,0,0,6.85,0,7.57
 84-94,0,0,0,0,14.66,1.06,0,777.39,0,0,0.6,48.8,0,0,0.64,0,0,0,0,63.07,0,3.65,1.01,8327.87,0,3.11,3.66,0,13.9,0,0,0,0,70.13,0,0,1.55,1.88,0
 96-106,0,0,0,0,1.48,5.79,1.05,1171.21,0,0,5.13,48.35,3.35,0,0,0,0,0,13.8,85.74,0,0,11.74,8902.88,0,15.06,28.65,0,8.35,0,0,7.3,0,6.53,0,3.23,1.04,3.91,1.69
108-118,0,0,0.61,0,75.73,5.29,4.29,539.85,0,0,0,46.72,2.46,0,15.7,0.64,4.85,0,3.19,113.82,1.3,0,8.56,13354.88,0,15.51,12.79,0,4.73,0,0,0,0,3.91,0,0,3.09,0,1.32
120,0,0,0,0,6.6,2.55,0,1678.2,7.84,0,0,65.87,0,0,0,34.72,0,0,61.29,53.07,0,0,0,22299.38,4,2.52,17.53,0,8.33,4.99,0,0,0,0,0,0,0,0,0
