stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,4.41,0,0,0,0,0,0,0,0
 14-21,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.86,0,0,0,0,0,0,0,33.38,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.35,0,0,0,0,0,1.9,0,103.12,0,0,2.2,0
 36-46,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.64,0,1.01,0,0,0,0,0,119.41,0,0,0,0
 48-58,0,2.04,0,56.76,0.67,1.47,22.5,0,0,7.69,0,0,0,0,0,5.35,0,0,0.59,1300.03,0,0,0,0,0,0.58,0,182.26,0,0,2,1.28
 60-70,0,2.77,0.78,182.13,0,0,57.69,0,0,1.47,0,0,0,0,0,12.58,0,0,3.15,2303.6,0,0,0,0,0,1.46,1.58,319.14,0,0,0,3.57
 72-82,0,8.9,1,385.85,0,0,49.01,0,1.25,0,0,0,1.43,0,0,17.73,0,0,3.18,2798.05,0,0,9.13,0,0,1.32,0,267.7,0,0,3.07,0
 84-94,0,6.82,6.31,269.31,0,0.68,25.07,0,0,0,0,0,0,1.36,0,8.63,0,0.6,3.61,2075.65,0,0,3.99,0,0,4.36,0,210.66,1.79,2.41,0,0
 96-106,0,28.83,3.35,255.99,0,0,38.86,0,0,1.46,0,1.7,0,9.56,0,11.08,3.81,0,0.92,1568.15,0,0.57,8.21,0,0,7.18,3.94,73.08,0,0,6.22,5.54
108-118,0,15.19,0.63,239.61,0,0,37.99,0.81,0,0,1.01,0.42,0,0,4.76,13.61,0,0,2.28,1962.01,0,0,7.21,0,1.82,0,0,73.1,0.68,3.02,0.56,0
120,0,27.88,0,443.49,0,10.09,86.86,0,0,4.1,0,0,0,0,0,11.5,0,0,0,3436.65,2.7,12.88,0,0,0,0,0,151.67,1.19,0,14.7,0
