stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,1881.53,35282.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386.18,0,0,0,0,0,0
  5-6,852.73,7990.5,0,24.67,0,0,0,0,0,0,8.74,0,0,0,0,533.36,0,0,0,19.7,218.28,0,0,0,0,0,0
  7-9,38.88,39.06,0,30.69,0,0,31.07,0,0,0,41.25,0,0,0,0,446.4,18.35,0,0,156.9,0,264.16,0,0,0,0,0
 10-12,0,0,0,0,0,4.74,3.85,0,0,0,0,0,0,0,0,19.01,13.66,0,0,4.17,0,52.17,0,0,0,0,0
 14-21,0,0,0,0,5.08,5.33,3.22,0,0,0,0,0,0.92,0,2.87,10.56,0,0.93,0,0,0,15.54,2.86,25.65,65.06,0,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.74,0,4.92,0,0.71,0,0,0.8,0,0,0,5.26,0.66,0.6
 36-46,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,42.84,1,2.15,0,0,0,0,0,0,0,3.61,0
 48-58,0,0,0,0,0,0,6.14,1.23,0.92,1.77,0,0,0,0.66,2.49,43.41,0,0.89,0,0,0,0,0,0,0,2.89,0
 60-70,0,0,0,0,0,0,15.14,0,4.17,0,0,0,0,0,0,17.01,0,6.24,0,0,0,0,0,0,0,3.34,0
 72-82,0,0,0.83,0,0,4.79,6.49,2.13,1.73,0.53,0,0,0,2.37,0,19.53,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.32,0,9.21,0,1.33,0.62,0,0,0,0,0,8.65,0,1.39,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.2,0,2.72,0,0,0.83,0,2.8,0,0,0,21.76,0,0.83,0,0,0,2.44,0,0,0,3.32,0
108-118,0,0,0,0,2.74,0,6.61,0,0,1.17,0,0,0,0.6,0.64,5.33,0,3.07,0,0,0,1.06,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,6.68,0,0,13.55,0,0,2.3,0,0,0,0,0
