stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.49,292.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.91,1204.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,7.03,0,0,0,0,17.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,70.57,106.91,0,148.71,0,0,0,352.18,0,0,0,0,0,107.29,0,0,0,0,0,0,0,0,0,0,2635.39,52.14,0,0,850.77,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.48,0,175.54,0,61.18,0,330.8,0,0,0,0,0,34.58,0,0,0,0,0,0,0,0,0,0,1827.08,28.25,0,0,655.01,0,0,0,4.36,202.9,0,5.88,13.32,0,0,0,0,0
 14-21,0,6.24,0,44.24,891.88,157,0,44.28,0,2.2,0,4.62,17.01,1.81,7.39,0,3.39,0,0,1.15,381.65,1.98,0,188.36,775.1,2.16,2.21,14.04,73.61,0,50.88,0,114.73,12.43,0,55.92,155.44,0,0,4.54,0,0
 24-34,0,0,1.96,6.63,185.91,11.47,0,61.62,0,15.97,4.63,18.48,8.12,0,1.36,0,1.72,1.35,9.1,6.2,483.61,3.06,11.07,163.83,541.74,1.39,5.45,24.26,0,0,27.08,0,6.77,3.23,0,10.96,85.7,0,0,51.83,0,1.91
 36-46,0,0,0,0,46.77,1.22,0,37.58,1.42,0,13.07,4.12,3.19,0,3.56,1.78,0,0,0,6.51,199.77,0,9.68,45.62,161.35,0.56,2.46,6.48,0,0,1.57,0.78,0,0,0,0,17.8,0,0,3.06,0,1.39
 48-58,0,0,0,0.41,92.87,3.01,0,31.73,0.96,24.25,18.19,10.62,1.29,0,5.22,0,0.65,1.7,2.29,0,304.18,2.18,18.71,76.59,171.48,0,3.43,3.97,0,0.96,3.44,0,0,0,0.46,2.82,19.73,0,0.98,10.46,1.78,7.15
 60-70,0,0,0,0,79.23,0.81,0,32.88,2.8,10.54,25.55,8,4.69,0,0.71,0.6,0,0,0.97,2.6,229.65,0,32.62,27.4,125.94,1.41,0,0,0,1.41,6.14,0,0,0.69,0,0,5.07,0,2.84,3.74,17.95,0
 72-82,0,0,0,0,42.16,5.25,0,27.74,0,18.19,39.93,7.9,5.97,0,1.86,3.43,0.68,0,0.53,0.77,227.09,0.57,17.25,29.9,47.61,0,0.52,20.1,0,0.71,0,0,0,0,0.54,0,0.77,0.5,3.37,2.88,6.51,3.9
 84-94,0,0,0,0,101.03,0,1.56,27.36,0,11.71,19.11,2.91,3.54,0,1.01,1.26,5.01,0,0,1.55,246.77,0.62,53.18,33.14,57.95,0.67,5.11,13.24,0,0,2.23,0,0,0,0,0,8.47,8.58,1.42,10.52,9.66,0
 96-106,0,0,1.41,0,46.19,1.5,1.52,17.61,0,12.31,38.99,3.85,4.58,0,1.75,11.99,0.64,1.32,0,0,84.65,0.63,21.06,15.61,40.39,2.06,3.36,6.35,0,0,6.37,0,0,0,0,0,1.65,1.46,0,10.49,7.73,0
108-118,0,0,0,0.65,104.32,0,9.31,19.42,0.78,26.95,13.57,5.33,7.25,0,0.58,4.26,2.85,2.61,1.72,0,172.93,0.9,11.72,27.54,54.85,10.39,5.11,10.87,0,1.58,10.3,0,0,1.16,0,0,4.33,6.71,3.37,8.89,0,0.53
120,0,0,0,0,43.38,0,0,22.94,0,10.13,8.4,0,4.96,0,0,0,2.27,0,1.3,3.38,130.26,0,31.61,24.59,30.09,2.43,8.7,3.78,0,0,0,0,0,2.12,0,0,2.54,1.99,1.46,22.57,8.56,0
