stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,0,38.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.32,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0
  7-9,10.46,0,0,0,0,0,0,0,0,0,0,0,0,29.12,0,0,4.73,0,0,0,0
 10-12,0,0,0,0,0,0,15.17,0,0,0,0,0,0,38.39,12.46,0,7.74,6.22,10.68,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,5.25,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,20.49,0,0,0
 36-46,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.91,0,0,0,11.91,0,0,0
 48-58,0,0,2.41,0.75,0,0,0,0,0,0.57,1.11,0,0,0.97,0,0,0,25.56,0,1.32,0
 60-70,0,0,4.52,0.76,0,0,0,0,1.4,0,0,0,0,9.27,0,0,0,50.5,0,0,0
 72-82,0,0,1.26,0,0.55,0,0,0,0,0.58,0.74,0,0,0,0,0,0,26.41,0,0,0
 84-94,0,0,0.59,0,0,0.58,0,0,0,0,4.73,0,0,2.77,0,0,0,63.72,0,0,0
 96-106,0,0,3.88,0.75,0.59,0,0,3.13,2.66,0.91,0,0,0,0.62,0,0.93,0,145.63,0,0,0
108-118,0,0,3.51,0,3.12,0.53,0,0.59,1.65,0,0.87,1.48,0.57,5.34,0,0,0,72.26,0,0,0.61
120,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0
