stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,144.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.73,227.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,6.56,0,0,0,0,0,0,0
  7-9,14.97,6.31,3.75,0,0,22.36,0,0,0,3.49,0,0,0,0,0,0,0,0,0,115.16,0,0,20.62,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.8,0,0,53.79,0,0,5.26,0,0,0,0
 14-21,0,0,0,0.88,0.89,1.78,0,0,0,0,0,0,0,0,0,0,2.47,0,1.81,31.33,0,0,0.98,0,2.24,0,3.89,4.58,3.22,0
 24-34,0,0,1.12,2.69,0,8.94,0,0,1.52,0,0,0,0,0,0,0.61,12.68,0,3.16,65.47,0,0.82,0,0,0,0,0,1.26,24.45,0
 36-46,0,0,0,2.3,0,5.06,0,0,7.97,0,0,0,0,1.49,0,0,1.92,0.56,4.21,54.58,0,0.67,0,2.32,0,1.06,0,0,14.02,0.89
 48-58,0,0,0,0,0,11.08,0,0.48,3.3,0,6.24,0,0,2.79,0.37,0,5.65,0,1.71,21.5,1.03,0,0,0,0,0,0,0,2.76,0
 60-70,0,0,0,7.04,0,13.76,0,0,2.65,0,0,0,0.62,0,0,0,23.06,0,0.84,21.11,0,0,0,0,0,0,0,0,0.81,0
 72-82,0,0,0,0,1.96,2.81,0,0,6.78,0,0,0,0,0,0,0,3.48,0,0,21.6,0,0,0,1.16,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.6,0,0,1.19,0,0,0,0,0,0,0,7.52,0,0,13.43,0,0,0,0.61,0,0,0,0,0,0
 96-106,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.29,0,10.75,0,1.09,0,2.42,0,0,0,0,0,0
108-118,0,0,0,0,0,5.04,1.33,0,0.58,0,0,0,0,0,0,0,6.55,0.62,1.26,6.44,0,0,0,0,0,0,0,0,0,0
120,0,0,0,8.57,0,24.73,0,0,1.78,0,0,1.49,0,0,0,0,10.18,0,0,14.11,0,0,0,0,0,0,0,0,0,0
