stage,erythrocytes,eye,glial,mesenchyme,neural,olfactory,periderm,spinal.cord
 10-12,0,0,0,0,9.69,0,0,0
 36-46,0,0,0,0,4.14,0,0,0
 48-58,0,0.75,0,0,4.76,0,0,0
 60-70,0,0.69,0,0,0.96,0,0,2.36
 72-82,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.58,0,1.57,0,0,0
 96-106,0,0,0,1.22,0,0,0.86,0
108-118,0.76,0.75,0,0,0,1.5,0,0
120,0,0,0,0,10.5,0,0,0
