stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,neural,pgc,pronephros
  3-4,17.23,115.55,0,0,0,0,0,0,0,0,0
  5-6,25.75,36.67,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.95,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,0
 24-34,0,0,2.44,0,0,0,0,0,0.99,0,5.33
 36-46,0,0,8.49,2.38,0,0,0,0,9.43,0,0
 48-58,0,0,0,0,0,0,0,0,0.86,0,0.53
 60-70,0,0,1.52,0,0,0,0,0,0,0,0.63
 72-82,0,0,0.5,0,0,3.99,0,1.61,0,0,2.03
 84-94,0,0,4.14,0,0,0,1.69,0,2.03,0,0
 96-106,0,0,2.89,0,0.62,0,0,1.56,1.29,0,0
108-118,0,0,9.25,0,0.73,0,0,0,0,0,0
120,0,0,38.09,0,0,0,0,6.44,0,2.5,0
