stage,blastomeres,mesenchyme,neural,periderm,spinal.cord
  3-4,47.8,0,0,0,0
  5-6,0,0,0,8.58,0
  7-9,0,0,4.79,0,0
 24-34,0,1.62,0.61,0,0
 96-106,0,1.8,1.13,0,1.5
120,0,3.29,0,0,0
