stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,186.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.99,296.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.76,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,6.25,0,6.92,0,0,0,30.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.15,12.59,0,0,47.03,0,0,7.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.42,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.65,6.39,0,0,33.85,0,0,0,0,21.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.48,0.99,0,0,0,0,0,1.21,0.85,0,0,0,0,0,0,0,8.93,0,0,2.69,69.94,0,0,0.83,0,0,1.06,0,9.29,0,2.56,25.52,0,0,0,0,0
 24-34,0,0,0,1.4,4.93,0,0,20.1,0,0,0,0,0.67,0.75,0,2.87,0,0.73,0.61,0,14.54,0,0,7.58,186.79,1.03,3.93,0,0,0,11.21,0,0,0.63,2.54,48.01,0,0,1.26,0,0
 36-46,0,0,0,0,6.38,0,0,42.21,0.61,0,0,1.28,0,2.07,0,0,0,0,0,0,11.95,0,0,5.2,252.37,0.68,1.5,2.7,0,0,23.99,0,0,0,0,49.74,0,0,12.82,0,0
 48-58,0,0,0,0,5.63,0.46,0,59.39,0,0,0.39,15.9,0,0,0,0.48,0,0.44,1.88,0,24.06,0,1.53,2.17,264.16,0,2.97,0.39,0,0,6.17,0,0,0.52,0,42.05,0,0,4.1,0,0.55
 60-70,0,0,0,0,9.2,0,0,88.4,0,0,0,12.26,0.64,0,0.98,0,2.66,0,0,0,20.02,0,1.34,3.72,233.94,0.75,7.55,3.85,0,0,3.94,0,0,0,0,49.32,0,0,0,0,0
 72-82,0,0,0,0,7.1,0,0,108.93,0,0.73,2.19,9.07,0.77,0.58,1.91,0,0,1.07,0,0,31.78,1.8,2.08,7.59,190.02,0.91,1.32,1.84,0,0,18.82,0,0,0,0,26.19,0,0,3.96,2.21,7.63
 84-94,0,0,0,0,7.82,0,0,77.37,0,0.81,1.77,12.86,2.07,0,0,0,3.29,0,0,0,42,0,0.86,0.74,156.73,0,4.23,2.1,0,0,14.01,0,0,0,0,30.37,2,1.11,0.95,1.34,0
 96-106,0,0,2.21,0,4.75,0.67,0,58.92,0,1.94,0,20.43,3.4,0,0.71,0.91,0,0.77,0,0,35.23,0,0,3.94,96.72,0,12.91,1.17,0,0,6.89,0,0,0.67,0,5.21,0,0,6.45,1.36,0
108-118,0,0,0,0,9.49,1.46,3.75,70.13,0.54,0,2.47,23.19,1.23,0,1.25,3,0.95,0,0,0.97,17.18,0,0.56,1.33,154.07,0.55,5.53,8.05,0,0.76,6.84,0,0,0.81,0,4.11,0,0,0.96,0,3.01
120,0,0,0,0,14.54,0,0,61.88,0,0,0,24.78,0,0,2.54,0,4.85,0,0,0,36.89,3.49,4.65,4.98,265.95,0,2.28,5.69,0,0,3.7,0,0,5.03,0,5.35,0,0,14.05,9.85,0
