stage,blastomeres,epidermis,eye,fast.muscle,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.52,0,0,4.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,2.04,0,1.19,0,0,0,0
 36-46,0,0,1.13,0.73,0,1.87,0,0,0,0,19.66,0,0,0,0,0,0,0,0,0,3.04
 48-58,0,0,2.55,0,0,0,0,0,0,1.05,13.42,0,0,0,0.4,0,0,0,0,0,0.94
 60-70,0,1.27,7.59,0,0.78,0,0,0,1.27,0,12.24,0,0,0,0.67,0,0,2.21,10.6,0,0
 72-82,0,3.54,1.49,0,0,0,0.5,0.88,2.71,0,21.51,1.61,0.61,0,0.86,0,0,1.59,0,2.06,0
 84-94,0,0.94,2.78,0.91,1.49,0,0.67,0,5.57,1.18,11.11,0,0,0,0.64,0,0,2.77,0,0,3.77
 96-106,0,0,0,0,0,0,0,0,7.34,0,10.36,0,0,0,3.21,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,4.81,0,23.64,0,0.87,0,9.09,0,0,0,2.05,0,0
120,0,0,0,7.8,0,0,0,0,0,0,26.66,0,0,0,3.83,0,0,0,0,0,0
