stage,eye,glial,neural,olfactory,pronephros,spinal_cord
 14-21,0,2.88,2.21,0,0,7.52
 24-34,0,0,0,0,0,1.94
 36-46,0.56,1.95,0.59,0.93,1.34,6.56
 48-58,0,0,0,0,0,2.54
 60-70,0,0,0,0,0,1.69
 72-82,0,0,0,7.5,0,0
 84-94,0,0,0,0,1.07,0
 96-106,0,0,0,0,0,0.94
108-118,0,6.62,0,0,0,7.14
