stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,4.56,0,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,3.79,0,8.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,13.97,0,0,0,0,0,0,1.01,0,21.23,19.96,10.27,0,0,0,0,0
 24-34,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,29.14,0,1.66,0.65,0,0,0,0,0,0,8.62,9.21,0,0,0,0,3.23
 36-46,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0.86,0,0,1.15,0.75,0,0,0,10.25,0,29.17,0,0,8.3,0,0,0,0,0.71,19.14,0,0,0,0,3.26
 48-58,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0.93,35.46,0,20.28,0,0,0,0,0,0,0,0,47.67,0,0,0,0,28.51
 60-70,0,0,0,0,913.22,0,0,0,2.44,0,0,0.76,0,0,65.51,0,0,0,3.57,0,0,2.16,30.09,0,6.04,0,0,0,0,0,0,0,0,8.04,0,0,1.08,0,0
 72-82,0,0,6.41,3.44,3247.42,0,0,4.17,10.71,0,0,0.74,0,0,78.38,0.62,0,0,27.64,0,0,4.93,115.58,0,5.76,1.4,0,0,0,0,0,0,0,6.76,0,0,8.24,2.21,26.11
 84-94,0,0,11.33,0,3241.87,0.56,0.97,0,6.13,0,0,0.78,0,2.01,59.82,0,1.5,0,18.38,0,0,4.98,48.04,1.25,1.54,0,0,4.2,0,0,0,0,0,3.82,2.89,0,3.7,0,6.77
 96-106,0,0,17.62,0,5107.76,0.72,0,0,12.95,0.92,0,0,1.46,0,44.69,0.63,0.59,0,12.82,0,1.7,5,95.91,0,10.21,4.65,0,6.99,0,0,1.06,4.18,0,17.41,0,1.93,13.69,0,45.95
108-118,0,0,8.59,4.63,5421.38,0,1.58,0,11.77,4.32,0,1.42,1.45,0,110.37,0,0,0,42.63,0,2.6,7.28,161.69,0.41,7.91,1.49,0,7.92,0,0,0,0,0,13.21,2.54,0,7.67,0.44,71.09
120,0,0,18.56,8.88,5701.82,0,0,0,10.64,0,0,0,0,2.95,78.46,0,0,0,8.45,3.54,0,2.28,200.58,10.25,21.47,1.09,0,13.6,0,0,1.94,0,0,10.66,1.37,0,0,0,19.55
