stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,135.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,142.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.61,3.62,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.75,0,0,0,59.43,0,0,0,7.27,0,0,0,0,0,0,0
 14-21,0,0,0.89,10.31,2.88,2.12,0,0,0,8.85,0.85,0.81,0,0.96,0,0,0,6.51,0,0,14.9,139.49,0,0,0,2.82,0,0,13.09,4.33,1.26,18.03,50.08,0,1.02,0,0
 24-34,0,0.71,0,2.91,0.76,16.67,0,0,0,11.57,1.39,1.47,0,0.62,0,0,0,9.57,0,0,10.93,155.34,0,2.26,0.66,0,0,0,0,1.45,0,3.33,34.95,0,1.2,0,0
 36-46,0,0,0,0,0,93.53,3.58,0,0.65,11.34,0,0,0,0,0,0,0,28.49,0,0,2.61,171,0,0,8.7,0,0,2.93,0,2.94,8.2,0,53.31,0,0.9,0,2.51
 48-58,0,0,0,0.39,0,220.59,0.8,8.62,2.22,30.31,0,0.82,3.25,0,0,0,0,30.93,0.65,0.5,2.12,170.96,0,2.16,0.59,0,0,5.97,0,0.57,0.68,0,27.34,0,0,0,0
 60-70,0,0,0,2.96,0,140.32,0.63,0,0,27.67,0,0.88,0.71,0.71,0.79,0.63,0,50.6,0,8.98,3.68,137.06,0,5.87,0,0,0,2.87,0,1.25,0,0,28.03,0.8,1.59,1.92,0
 72-82,0,1.29,0,3.38,2.35,134.3,0,3.46,3.53,38.45,0,0.56,6.62,0,0.63,0.79,0,90.15,0,0.49,11.83,191.35,0,10.44,2.33,0,1.05,0,0,1.97,0.52,0,23.68,1.24,16.81,1.55,0.89
 84-94,0,1.44,0,2.54,3.42,82.03,0,2.49,0.67,34.5,5.57,0.8,3.01,0.71,0.55,0.86,6.31,53.06,0,6.42,3.74,100.8,0,1.1,1.72,0,0,3.35,0,0,0,0,16.19,0,6.34,2.57,0.64
 96-106,0,0,0,0.62,4.67,100.72,0,0,0.65,52.55,1.62,2.01,3.15,0,0,0.71,0,69.2,0,4.91,4.92,124.46,0,9.12,2.86,0,1.33,0,0,1.72,0,0,16.24,2.73,15.92,8.43,0
108-118,0,0,0,5.78,10.62,134.93,0,0,1.84,48.9,3.21,1.88,4.19,1.05,0.56,0.52,0,83.84,0,2.1,11.08,226.77,0.49,13.93,7.04,0,0,0.95,0,0,0.6,0,5.82,1.37,11.79,8.45,1.96
120,0,0,0,6.72,12.23,153.6,13.25,0,0,53.34,0,0,10.42,1.65,0,0,3.99,120.13,0,2.08,1.01,239.6,0,12.53,3.14,0,0,1.68,0,5.58,0,0,5.7,0,20.68,7.69,0
