stage,epidermis,fin.epithelia,neural,paraxial.mesoderm,pronephros,somites
  7-9,0,0,6.71,7.35,0,0
 10-12,0,0,29.02,0,0,5.41
 36-46,0,5.6,0,0,0,0
 48-58,0,0.45,0,0,0,0
 84-94,0,1.03,0,0,0,0
 96-106,0,0,0,0,0.78,0
108-118,1.75,0.88,0,0,0,0
120,0,0,0,0,1.38,0
