stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,3.78,0,0,8.04,0,5.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,34.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,2.26,0,0,0.85,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,2.3,0,0,0.89,0,0,0,0,0
 24-34,0,1.73,0,0,0,0,3.71,0,0,0,0,0,0,0.95,0,0,0,3.39,0,4.46,0,0,0,22.04,0.94,3.18,0,0,0,0.68,0,0,5.7,0,0,0.85,0,0
 36-46,0,0,0,3.89,0,0,1.34,0,0,1.85,3.17,0,0,0,0,0,0,0,0,3.13,0,0,0.61,64.39,0,25.67,0,0,0,1.08,0,0,2.06,0,0,0,0,0
 48-58,0,0,0,0.41,0,0,13.97,0.37,0,1.48,2.27,0,0,0.55,3.96,0,0,0.41,0.93,8.24,0.7,0,1.46,158.48,0,15.59,0,0,0,0,1.1,0,3.17,0,0,0.71,0,0
 60-70,0,0,0,0,4.68,0,161.69,0,0,0,17.07,0,0,0,1.8,3.49,4.41,0,0,30.14,0,0,3.48,277.92,0,12.98,0,0,0,0,21.29,0,13.77,0,0,0,0,0
 72-82,0,0,0,5.27,4.77,0,591.72,0,0,9.56,30.5,3.91,0,0,8.7,0,9.91,0,0,58.48,0.66,2.2,1.61,509.09,0.88,20.55,2.02,0,0,1.57,63.77,0,31.24,6.19,0.75,0,7.87,3.58
 84-94,0,0,0,4.13,1.65,0,522.29,0,1.82,3.78,11.35,0.93,0.77,1.84,21.48,1.78,4.29,0,0,52.35,0,1.01,3.11,283.48,0,9.31,2.12,0,0,7.95,205.35,0.61,1.89,0,1.28,2.86,1.16,0
 96-106,0,2,0,4.54,0,0,932.51,0,1.8,1.77,43.99,0,0,4.5,10.81,1.08,4.88,22.97,0,74.43,3.08,1.14,6.66,411.4,0,40.89,9.33,0,6.13,2.16,216.41,0,9.47,1.08,6.88,7.7,3.85,0
108-118,0,1.57,0,7.14,1.92,0.74,998.84,0,0,5.48,48,0.49,0,0,15.27,0.48,4.8,1.92,0,94.67,0,2.3,2.25,394.56,0.77,29.83,7.04,0,0,6.61,194.77,0,8.07,0,0,10.19,2.59,0
120,0,0,0,14.99,0,0,915.92,13.36,0,7.56,103.9,0,0,3.24,15.73,0,10.68,42.2,0,51.37,0,0,0,541.23,0,55.78,6.39,0,0,9.29,150.53,2.81,38,0,0,37.46,8.22,0
