stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,4,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.84,3.9,0,0,0.98,1.15,0,0,0
 24-34,0,0,0.86,0,0,0,0,0,0,0,7.94,0,0,0,1.15,0,0,0
 36-46,1.07,0,0,0,0,0,0,0,0.82,0,4.17,0,0,1.92,0,0,0,0
 48-58,0,0,1.64,0,0,1.3,0,0,0.8,0.38,7.31,0,0,0,1.81,0,0,0.79
 60-70,0,0,0.59,0,0.77,0,0,2.8,0,0,0,0.83,0,0,0,0,0,0
 72-82,0,0,1.57,0,0,0,0,0,2.55,0,3.85,0,0,0,0,0,0.87,0
 84-94,0,0,0.89,0,0,0,0,0,0.67,0,0,0,0,0.82,0,0,0,0
 96-106,0,9.59,0,0,0,0,1.33,0,2.75,0,2.23,0,0,3.16,0,0,0,0
108-118,0.47,0,0,0,0,0,0,4.65,0,0,6.6,0,0,0,0,0.52,0,0
120,0,0,7.62,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97
