stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0,0.98,0,0,0,0,1.08,0,0,0
 24-34,0,0,0,1.47,0,0,0,0,0,0.78,4.31,0,1.21,0,0,1.34,3.56,0,0
 36-46,0,0,1,0,0,0,0,0,1.43,0,11.53,0,0,0,0,0,3.33,0,0
 48-58,0,0,0,4.76,0,0,0,0,0,6.48,12.91,0,0,0,0,0,5.15,0,0
 60-70,0,1.13,0,6.79,0,3.16,0,0,2.11,0,15.28,0.88,0,0,0.66,0,7.37,0,0
 72-82,0,1.54,0,18.98,0,4.35,0,0,2.29,1.96,22.19,0,0,0,0,0,0,0,0
 84-94,0,0,0,11.96,0,7,0.91,0,0.83,0,28.24,0,0,0,0,0,0,0,0
 96-106,0,0,0,17.54,0,1.07,1.29,0.67,2.6,0,5.68,0,0,0,0,0,0,0,0
108-118,0,2.65,0,3.58,0,0,0,2.08,1.07,0,16.54,0,0,0,0,0,0,1.3,0
120,0,3.64,0,5.58,1.33,3.92,0,3.02,1.77,3.39,24.57,0,0,0,0,0,0,0,2.66
