stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,4.79,0,0,11.3,0,0,0,0,0,0
 10-12,0,0,0,19.03,0,0,0,0,0,0,0,0,0,0,0,22.23,3.17,0,0,24.47,0,0,0,0,0,0
 14-21,0,1.61,0,0,0,0,0,0,0,0,0,1.27,0,0,0,2.23,0,0,0,0,0,0,1.09,0,0,0
 24-34,0,0.81,0,0,0,0,0,0,0,0,0,0.63,0,0,1.34,9.31,0,0,0,0,0.92,0,0,2.37,0,0
 36-46,0,3.67,0,1.98,0,0,0,0,0,0,0,2.39,0,0,9.59,9.06,0,0,0,0,0,0,0,2.46,0,0
 48-58,0,44.6,0,89.64,2.6,0,0.44,0,0,0,0,6.48,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0
 60-70,0,29.29,0,219.62,2.16,0,0,0,0,0,0,4.98,0,0.99,0,16.55,0,0,3.85,0,6.97,1.95,0,1.11,0,0
 72-82,0,19.19,0,368.46,1.41,1.07,1.99,0,0,0.61,0,12.05,0,0,0.63,15.42,0,0.5,0,0,24.32,0,0,0,0,0
 84-94,0,46.87,0,199.53,8.42,0,9.06,0,0.75,0.6,0,10.96,0,0,0,30.74,0,0.71,0,0,89.44,0,0,0,0,0.68
 96-106,0,83.67,0,110.47,10.86,0,3.12,0,0,0,0,17.55,4.4,0,0.87,8.46,0,0,0,0,84.26,0,0,0,0,0
108-118,0,82.54,2.91,122.64,13.79,0,7.92,0.62,0,0,1.01,1.83,0,0,0,24.3,1.87,0,0,0,42.17,0,0,0,1.62,0
120,0,157.61,0,95.61,14.41,0,0,1.39,0,0,0,0,6.27,2.47,0,44.05,0,0,0,0,56.72,0,0,0,0,0
