stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,66.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,345.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,33.94,162.83,0,0,67.42,0,0,0,0,0,0,0,0,0,0,0,1360.88,0,0,0,460.11,0,0,0,0,0,0,0,0
 10-12,0,0,260.56,0,0,26.11,0,0,0,0,0,0,0,0,0,0,0,179.61,9.47,0,0,198.76,3.47,0,27.56,0,0,0,0,0
 14-21,1.85,0,0.8,58.79,0.9,0.93,0,0,10.79,1.28,2.33,0,0,0,2.89,0,1.52,31.31,10011.37,0,0,34.41,4.03,10.49,0,18.22,1.63,24.76,1.63,0
 24-34,0,0,0,24.41,5.24,0.62,0,1.48,0,0,0,0.74,1.81,1.21,3.81,0,3.33,112.71,2646.58,2.27,0.61,0,5.51,0,0,0,2.12,16.46,0,1.57
 36-46,0,0,0,3.14,0,13.07,0,1.75,0,0,0,0,0,0,4.08,0,2.41,26.99,300.6,0,0,0,3.69,0,0,0,0,13.79,2.72,0
 48-58,0,0,0,0.56,0,4.86,0.44,0,0,0,0,0,0,0,2.87,3.28,0.51,1.14,20.67,0,0,0,0.71,0,0,0,0,1.13,0,0
 60-70,0,0,0,0.92,0,13.9,0,0,0,0,0,0,0,0,1.73,0,0,2.49,6.03,0,0,0,0,0,0,0,0,1.7,0,1.17
 72-82,0,0,0,0,0,8.71,0,0,0.85,0,0,0,0,0,4.81,0,1.44,8.91,0,0,0,0,0,0,0,1.81,0,1.17,0,0
 84-94,0,0,0,0,4.61,4.43,0,0,0,0,0,0,0,0,2.57,0,2.29,8.71,1.99,0,0,0,4.32,0,0,0,0,0,0,0
 96-106,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.25,0,1.74,0,1.23,0,0,0,0.62,0,0,3.05,0,0,33.27,1.24,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,1.34,0,0,0,1.97,0,0,0,0,0
