stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,28.06,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,8.05,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.46,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.1,0,0,0
 14-21,0,0,1.03,0,0,0,0,2.24,0,0,0,0.82,0
 24-34,0,0,2.57,0,0,0,0.63,2.41,0,0,0,1.83,0
 36-46,0,0,1.76,0,0,0,0,7.68,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.64,0,0,0,0,0
 60-70,0,0,0,0,0,0.79,0,2.9,0,0,7.11,0,1.56
 72-82,0,0,2.04,1.51,0,5.12,0,4.69,162.31,0,0,8.12,0
 84-94,0,0,0,0,2.8,0,0,1.93,15.49,0,0,0,0
 96-106,0,0,2.85,0,0.88,1.87,0,1.2,133.25,0,0,0,0
108-118,0,0.58,7.46,0,0,0,0,5.1,51.22,0,0,0,0
120,0,0,1.76,0,0,1.21,0,0,0,0,0,0,0
