stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,1.72,0,0,0,0,0,1.04,0,0.83,26.34,0,0,0,0,3.01,0,0,0
 24-34,0,1.68,2.79,0,0,0,0,0,0,0,0.76,2.44,0,0,33.26,0,0,0,0,0.6,4.4,0.64,0
 36-46,0,0,7.92,0,0,0,0,0,0,0,0,8.14,0,0.66,30.2,0,0,0,0,0,5.41,0,0
 48-58,0,0,8.6,0.62,0,7.87,0,0,0,0,0,3.68,0,0,50.41,0.49,0.63,0.61,0,0,5.88,0,0
 60-70,0,0,36.41,0,0,11.62,0.59,0,0,0,0,3.08,0,1.91,37.89,0,0,0,0,0,5.48,0,0
 72-82,0,0,12.96,0,2.19,3.36,0.98,0.68,0,0,0,11.43,0,0,44.03,1.13,0,0,1.59,0,5.81,0.94,0
 84-94,0.87,2.92,6.44,0,0,0,0,0,2.39,0,0,0,0,0.8,20.23,0,0,0,1.06,0,0.82,0.82,1.59
 96-106,0.77,0,4.38,0,0,3.09,0,1.32,0,0,0,3.59,0,0,3.58,0,1.44,0,2.45,0,1.76,3.27,0.91
108-118,0,0,1.35,0,0,1.58,0,0,0,0,0,10.33,0.75,0,26.93,0,0,0,0,0,0,0.5,0
120,1.81,0,5.08,0,0,2.06,0,0,0,1.74,0,0,0,2.28,88.52,0,0,0,0,0,0,2,0
