stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.02,494.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.02,0,0,0,0,0,0,0,0,0,0
  5-6,76.81,904.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,43.71,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,11.94,0,35.9,0,0,0,50.09,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,354.9,12.78,0,0,174.44,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.48,0,21.83,0,4.67,0,44.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.79,29.77,0,0,202.85,0,0,0,16.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.98,1.98,0,7.82,0,0,0,2.87,6.25,0,0,0,0,0,0,0,0,10.26,0,0,8.09,124.42,3.47,0,2.84,0,0,13.96,10.12,0,0,16.54,52.91,0,0,1.09,0,0
 24-34,0,0,0,1.35,7.42,0,0,17.24,0,0,0,6.94,0,0,2.15,0,0,1.61,0,0,0.65,18.4,0,1.21,10.15,207.24,0.99,0,0.61,0,0,13.53,0,0.75,0,1.64,71.92,0,0,12.6,0,0
 36-46,0,0,0,0,10.18,0,0,17.12,0,0,3.35,24.05,1.63,0,1.77,0,0,0,0,0,0,13.51,0,0,2.69,152.76,0,3.33,3.34,0,0,37.3,0,0,0,0,31.1,0,0,0.8,0,0
 48-58,0,0,0,0,4.3,0,0,54.83,1.3,6.03,7.95,12.92,0.97,0,0,0,4.75,0,1.59,0,0,35.56,0,0.41,2.74,136.98,4.96,1.03,1.93,0,0,17.54,0,0,1.43,0,25.3,0,0,4.56,0,0
 60-70,0,0,0,0,4.06,0,0,71.96,1.24,0.86,0.89,10.72,0.69,0,0,0,3.74,0,0,0,0,8.82,0,0.81,4.76,99.06,0,0.58,0,0,1.22,12.43,0,4.15,0,0,5.87,0,0.71,5.55,0,0
 72-82,0,0,0,0,6.22,0,0,74.28,0,6.12,3.56,12.95,2.8,0,0,0,0,0,0,0,0,52.68,0.66,0.92,2.54,107.82,0.52,0,0.81,0,0,4.14,0,0,0,0,12.23,0,0,9.88,0.77,0.99
 84-94,0,0,0,0,5.13,0,0,21.89,0,0,1.34,18.95,0.73,0,0,5.86,3.79,1.35,0,0.68,1.11,28.63,1.39,3.79,7.18,56.68,6.59,1.46,5.39,0,0,10.41,0,0,0,0,16.21,1.5,0.98,4.17,4.15,1.29
 96-106,0,0,0.63,0,13.42,0,0,26.43,0,1.49,0,13.89,2.34,0,0,1.94,0,0,0.75,0,0,29.26,0,1.8,1.95,46.74,0.98,2.82,0,0,0,8.95,0,0.6,0,0,2.21,0.72,0,0.78,0,1.71
108-118,0,0,0,0,13.56,0.61,10.07,57.1,0.64,2.73,0,17.87,1.1,0,0,1.42,4.89,3.3,0,0,0.58,43.28,0,0,3.18,76.87,0,1.07,0.44,0,0,9.96,0,0,0,0,4.37,1.01,0,3.9,2.22,9.51
120,0,0,0,0,9.03,2.68,0,5.95,0,2.41,16.39,23.05,2.52,0,0,0,0,3.33,0,0,0,32.92,0,0,11.83,137.03,0,1.48,5.63,10.96,0,25.11,0,0,0,0,0,0,0,0,0,0
