stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,112.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,16.63,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.73,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.57,0,0,0,9.17,0,0,47.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,1.81,25.28,0,0.93,0,0,0,0,6.56,0,0,0,0.81,0,0,12,0,0,0,0,0,33.91,8.72,0,0,0,0,3.26,1443.99,0.8,4.09,15.45,0,0,0,0,0
 24-34,0,0,0,0.84,3.17,1.56,0,2.71,0,0,0,1.55,7.62,0,0.67,0,0,0,0,44.71,2.46,6.89,0,0,0.61,93.63,0,0,0,0,0,11.51,1997.58,2.19,0,11.1,0,0,11.61,0,0
 36-46,0,0,0,0,0,0,0,4.77,0,0,0,0,1.77,0,0,0,0,0,0,57.14,0,1.28,0,0,1.14,127.21,0,1.6,0,0,0,3.47,1113.51,0,0,8.98,0,0,0.63,0,1.8
 48-58,0,0,0,0,0.66,0.43,0,12.21,0.67,0,0,7.12,19.94,0,0,0,0,0,0.45,7.91,7.36,1.02,0,0.77,0,81.51,0,2.51,0,0,0,0.5,725.22,0,0,5.5,0,0,0,0,10.18
 60-70,0,0,4.57,0,6.11,0,0,48.61,0.7,4.46,2.53,6.4,65.37,0,0,0,0,6.98,0.73,12.08,0,0.8,0,0.7,0.75,46.08,0,1.56,0,0,0,7.07,667.22,0,0,4.53,0,0.67,4.22,0.59,2.71
 72-82,0,0,14.21,0,1.41,0,0,191.55,0,1.14,0,9.37,298.51,0,0,0.72,0,2.49,2.6,16.68,0,26.37,0,0,3.41,124.64,1.76,1.18,5.29,0,0,4.69,760.73,0,0,10.35,0,2.69,1.97,1.37,9.04
 84-94,0,0,15.43,7.89,8.24,6.41,0,86.53,0,0.56,0,6.81,582.19,0,0,0,0,0,1.12,7.88,5.93,6.28,1.51,2.04,6.57,70.51,0,0.9,0,0,0,6.67,1768.29,0,0,0,6.46,2.55,4.15,1.06,0
 96-106,0,0,12.53,20.79,7.89,37.12,2.62,180.66,0.71,1.85,1.1,29.11,1007.34,0,0,4.79,0,6,0,40.6,0,38.16,2.63,1.82,5.45,211.59,0.58,2.88,2.59,0,1.96,16.96,1655.48,0,0,10.75,1.64,0.57,6.05,2.88,16.9
108-118,3.95,0,10.66,24.37,13.11,4.7,3.44,162.26,0,0.52,0.83,15.47,1174.33,0,4.23,10.63,0.57,2.3,0,20.92,0,30.49,0,0,1.57,175.93,0,1.48,2.73,0,0,16.66,1544.23,0,0,0.95,0,0,0.85,2.97,4.12
120,0,0,11.35,5.55,8.03,0,1.16,33.35,7.63,5.35,0,42.71,772.1,0,0,1.11,1.72,0,1.76,21.64,1.61,28.45,0,0,0,182.81,1.1,0,0,0,0,5.18,1061.6,0,0,10.36,0,3.48,19.99,0,0
